iter	Logloss
0	0.6913220131
1	0.6893560067
2	0.6872263844
3	0.6853668464
4	0.6831305072
5	0.6811655783
6	0.679287418
7	0.6774792622
8	0.6757437989
9	0.6738887198
10	0.6723484025
11	0.6709528442
12	0.6695701259
13	0.667623832
14	0.666309072
15	0.6648240189
16	0.6633553111
17	0.6618895746
18	0.6602030087
19	0.6587402324
20	0.6574529537
21	0.6557766085
22	0.6545260406
23	0.6530247101
24	0.6513489592
25	0.6501040186
26	0.6483202282
27	0.6469667636
28	0.6459448161
29	0.6448135259
30	0.6433911973
31	0.6422491995
32	0.6409649365
33	0.6398542403
34	0.638623168
35	0.6373332159
36	0.6359477451
37	0.6348018406
38	0.6341549866
39	0.6332295171
40	0.6321585278
41	0.6310357678
42	0.6298408008
43	0.628819291
44	0.6276629334
45	0.6266123013
46	0.6256190015
47	0.6245977545
48	0.623645438
49	0.6227716026
50	0.6218746564
51	0.6208721502
52	0.6198133656
53	0.6187299583
54	0.6178521711
55	0.616798556
56	0.6158952122
57	0.6150434539
58	0.6141847755
59	0.6130192642
60	0.6120751154
61	0.6112523039
62	0.6103978251
63	0.609611092
64	0.6088598077
65	0.6080238772
66	0.6072366133
67	0.6066079541
68	0.6056547528
69	0.6049287988
70	0.6040938257
71	0.6032122771
72	0.6024035784
73	0.6017024782
74	0.6010542884
75	0.6002378489
76	0.5992102018
77	0.5984827339
78	0.597600503
79	0.5969884477
80	0.5966041314
81	0.5959119654
82	0.5948257738
83	0.5940774609
84	0.5935373794
85	0.5929182264
86	0.5923017186
87	0.5916319202
88	0.5910220724
89	0.5904031934
90	0.5897324861
91	0.5890990078
92	0.5885723505
93	0.5877294613
94	0.586881211
95	0.5863490223
96	0.5857853088
97	0.5851165272
98	0.5846705067
99	0.5840903286
100	0.5832423701
101	0.5826213414
102	0.5820489959
103	0.5814289964
104	0.58068502
105	0.5800666266
106	0.5793761485
107	0.5788466085
108	0.5781440355
109	0.5774920709
110	0.5767930244
111	0.5761432742
112	0.5754669948
113	0.5747904641
114	0.5743471113
115	0.5735808471
116	0.5730477336
117	0.5725012497
118	0.5719568489
119	0.5714952447
120	0.5709254029
121	0.5701922053
122	0.5696770145
123	0.569175162
124	0.5686883704
125	0.5681790366
126	0.5676578269
127	0.5671983468
128	0.5666968525
129	0.5661009461
130	0.565704015
131	0.5651120689
132	0.564614325
133	0.56402074
134	0.5635468056
135	0.562946094
136	0.5624429708
137	0.5617115624
138	0.5613168387
139	0.5609040738
140	0.5603246641
141	0.5598269011
142	0.5592339396
143	0.5589560453
144	0.5584501002
145	0.5579585082
146	0.5573895328
147	0.5567884836
148	0.5563838555
149	0.555877173
150	0.5554165415
151	0.5548699074
152	0.5545511564
153	0.5542840675
154	0.5537590614
155	0.5533784388
156	0.552734522
157	0.5522687556
158	0.5519095902
159	0.5514562732
160	0.5510859168
161	0.5508017805
162	0.5503513224
163	0.5498055026
164	0.5494938258
165	0.5491601147
166	0.5488938884
167	0.5484706115
168	0.5479201375
169	0.5473918904
170	0.5467643734
171	0.546435955
172	0.546097614
173	0.5453374219
174	0.5447841927
175	0.5443783892
176	0.5439922512
177	0.5435110038
178	0.5433618652
179	0.5429811587
180	0.5425091292
181	0.5418364803
182	0.5415927723
183	0.5410232886
184	0.5406159015
185	0.5403161738
186	0.5399350132
187	0.539342812
188	0.5389480912
189	0.538525046
190	0.5382031931
191	0.53775
192	0.5373468145
193	0.5370301023
194	0.5366549614
195	0.5363369664
196	0.5360584634
197	0.535308151
198	0.5344557768
199	0.5340292504
200	0.5333543386
201	0.5328008128
202	0.5325043005
203	0.5320252264
204	0.5315986428
205	0.5312647231
206	0.5306409013
207	0.530199144
208	0.5297696332
209	0.529383543
210	0.5292304091
211	0.5287846987
212	0.5284572838
213	0.5281606856
214	0.5277894789
215	0.5274493725
216	0.5269061339
217	0.5265724262
218	0.5260668412
219	0.5254827501
220	0.5248724325
221	0.5246792108
222	0.5242248426
223	0.5238980713
224	0.5234429264
225	0.5230825956
226	0.5227944044
227	0.5224269494
228	0.5221327173
229	0.5218394922
230	0.5214667818
231	0.5211792073
232	0.5204779945
233	0.5201756432
234	0.5198803341
235	0.519598509
236	0.5190457072
237	0.5185874433
238	0.5182156251
239	0.5178409388
240	0.5176612138
241	0.5173391023
242	0.5169427853
243	0.5165994148
244	0.5162415082
245	0.5158611508
246	0.5155411514
247	0.5151794363
248	0.5149034246
249	0.5142236651
250	0.5139389113
251	0.5135137661
252	0.5131550028
253	0.5125911607
254	0.5122535454
255	0.5119201692
256	0.5115611915
257	0.5109673422
258	0.5106131298
259	0.5102186608
260	0.5097751178
261	0.5095430751
262	0.5092153071
263	0.5089446008
264	0.5086027535
265	0.5084443867
266	0.5082856124
267	0.5078184462
268	0.5075247483
269	0.5071196614
270	0.5068383931
271	0.5065599384
272	0.5062696675
273	0.5058541442
274	0.5056982748
275	0.505428708
276	0.5051037328
277	0.5043340996
278	0.5038899921
279	0.5034255433
280	0.5029738517
281	0.5027275766
282	0.5023688031
283	0.5021288025
284	0.5017745328
285	0.5015108527
286	0.5010849941
287	0.5007532763
288	0.5005142136
289	0.5001942609
290	0.499948896
291	0.499678913
292	0.4994634351
293	0.4992441557
294	0.4990139298
295	0.4986615068
296	0.4983041462
297	0.4977834085
298	0.4974844504
299	0.4970808392
300	0.4967319573
301	0.49629999
302	0.4958166915
303	0.4954156851
304	0.4949770107
305	0.4943829998
306	0.4941242056
307	0.4937392007
308	0.4932426731
309	0.492872019
310	0.4923861946
311	0.4920203035
312	0.4917978127
313	0.4914015876
314	0.4911887838
315	0.4908315797
316	0.4905331873
317	0.4903875448
318	0.4900089282
319	0.4897300277
320	0.4893788758
321	0.4890832124
322	0.4887142765
323	0.4884938667
324	0.4882020946
325	0.4878371835
326	0.4875776993
327	0.4873177384
328	0.4866534035
329	0.4863779471
330	0.4860588684
331	0.485672015
332	0.4853241525
333	0.4851624424
334	0.4847593625
335	0.4844849279
336	0.4842707051
337	0.4838736097
338	0.4835990423
339	0.4833415656
340	0.483083519
341	0.4828281665
342	0.4826552165
343	0.4824758315
344	0.4822044543
345	0.4820238818
346	0.4816720592
347	0.4812328393
348	0.4809215009
349	0.4805540627
350	0.4801726863
351	0.4799610905
352	0.4795625794
353	0.4792883955
354	0.4789911546
355	0.4788035315
356	0.4786448806
357	0.4783271127
358	0.4780056379
359	0.4777923554
360	0.4776373701
361	0.4773707293
362	0.4770883882
363	0.4766976874
364	0.4760566765
365	0.4757526935
366	0.4754111353
367	0.4751597864
368	0.4748969108
369	0.4744291659
370	0.4741490449
371	0.4739204204
372	0.4736534964
373	0.4732151564
374	0.4729085095
375	0.4726644708
376	0.4722939267
377	0.4720521056
378	0.4716624004
379	0.4713515363
380	0.4709677376
381	0.4707414317
382	0.4703938825
383	0.4701310388
384	0.4699021792
385	0.4694860883
386	0.4692708472
387	0.4688059198
388	0.46856452
389	0.4683788399
390	0.4677900839
391	0.4674285606
392	0.467175422
393	0.4668281551
394	0.4665627477
395	0.4663769533
396	0.4660551567
397	0.4656449248
