ID,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
0,GPS Status & Toolbox,TRAVEL_AND_LOCAL,1.0,149723,4.1M,"10,000,000+",Free,0,Everyone,Travel & Local,"June 13, 2018",8.1.171,4.0 and up
1,Fish|Hunt FL,LIFESTYLE,0.0,853,34M,"100,000+",Free,0,Everyone,Lifestyle,"March 22, 2018",3.2.0,4.1 and up
2,Allrecipes Dinner Spinner,FOOD_AND_DRINK,1.0,61881,Varies with device,"5,000,000+",Free,0,Everyone,Food & Drink,"April 10, 2018",Varies with device,Varies with device
3,Don't touch my phone,TOOLS,0.0,21943,2.3M,"5,000,000+",Free,0,Everyone,Tools,"October 19, 2016",30,2.3 and up
4,BM SPM Practice,FAMILY,1.0,6,9.2M,"1,000+",Free,0,Everyone,Education,"January 24, 2018",1.0,4.1 and up
5,Advanced EX for FIAT,TOOLS,0.0,138,141k,"5,000+",Paid,$4.99,Everyone,Tools,"March 5, 2015",1.6,1.6 and up
6,صور حرف H,ART_AND_DESIGN,1.0,13,4.5M,"1,000+",Free,0,Everyone,Art & Design,"March 27, 2018",2.0,4.0.3 and up
7,CT Cervical Spine,MEDICAL,1.0,5,17M,"1,000+",Free,0,Everyone,Medical,"January 20, 2018",2.0,4.0 and up
8,DV-LOTTERY 2019 REGISTRATION,FAMILY,1.0,97,2.6M,"10,000+",Free,0,Everyone,Entertainment,"January 20, 2018",3.0,4.0 and up
9,Agenda EF,FAMILY,0.0,79,33M,"5,000+",Free,0,Everyone,Education,"May 27, 2015",1.03,3.0 and up
10,The Guardian,NEWS_AND_MAGAZINES,1.0,247992,22M,"5,000,000+",Free,0,Teen,News & Magazines,"July 25, 2018",6.5.1725,4.1 and up
11,BX Thailand - Crypto Tracking & Analyse Bitcoin,FINANCE,1.0,2,34M,100+,Free,0,Everyone,Finance,"March 10, 2018",1.7,4.0.3 and up
12,Nights at Cube Pizzeria 3D – 2,GAME,0.0,47151,36M,"5,000,000+",Free,0,Everyone 10+,Action,"December 26, 2017",2.4.0,4.3 and up
13,Dirt Trackin Sprint Cars,GAME,0.0,499,47M,"10,000+",Paid,$3.99,Everyone,Racing,"May 10, 2018",1.0.13,5.0 and up
14,AK Interactive,FAMILY,1.0,734,13M,"10,000+",Free,0,Everyone,Entertainment,"July 12, 2018",2.5,4.0 and up
15,Files To SD Card Pro,TOOLS,1.0,994,2.8M,"100,000+",Free,0,Everyone,Tools,"May 18, 2018",6.0.0,5.0 and up
16,MetaTrader 4,FINANCE,1.0,260547,Varies with device,"5,000,000+",Free,0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
17,Hidden Camera Detector,TOOLS,0.0,167,2.5M,"10,000+",Free,0,Everyone,Tools,"November 8, 2017",1.0,4.0.3 and up
18,My Boy! Free - GBA Emulator,GAME,1.0,531074,2.5M,"10,000,000+",Free,0,Everyone,Arcade,"January 9, 2018",Varies with device,Varies with device
19,Anime Love Story Games: ✨Shadowtime✨,FAMILY,1.0,198480,82M,"5,000,000+",Free,0,Everyone,Simulation,"August 3, 2018",20.0,4.1 and up
20,သိင်္ Astrology - Min Thein Kha BayDin,LIFESTYLE,1.0,2225,15M,"100,000+",Free,0,Everyone,Lifestyle,"July 26, 2018",4.2.1,4.0.3 and up
21,Automatic Call Recorder,TOOLS,1.0,1648515,7.1M,"100,000,000+",Free,0,Everyone,Tools,"August 2, 2018",5.42.1,2.3 and up
22,T-Mobile Content Transfer,PRODUCTIVITY,1.0,370,29M,"500,000+",Free,0,Everyone,Productivity,"January 25, 2018",2.1.5,4.0 and up
23,Mas Akıllı Ev,HOUSE_AND_HOME,1.0,13,43M,100+,Free,0,Everyone,House & Home,"April 18, 2018",3.2,4.4 and up
24,Internet Speed Meter Lite,TOOLS,1.0,410303,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"September 5, 2016",Varies with device,Varies with device
25,Mcqueen Coloring pages,ART_AND_DESIGN,1.0,61,7.0M,"100,000+",Free,0,Everyone,Art & Design;Action & Adventure,"March 7, 2018",1.0.0,4.1 and up
26,Be the Manager 2016 (football),SPORTS,1.0,4330,6.1M,"100,000+",Free,0,Everyone,Sports,"October 19, 2017",3.0,4.0 and up
27,Pick-a-Paint,LIFESTYLE,0.0,242,36M,"50,000+",Free,0,Everyone,Lifestyle,"May 14, 2018",1.2.1,3.0 and up
28,ER Assist,PRODUCTIVITY,1.0,3,28M,10+,Free,0,Everyone,Productivity,"December 6, 2016",0.1.7,4.1 and up
29,AE Roundy POP,FAMILY,1.0,5262,26M,"100,000+",Free,0,Everyone,Casual,"March 23, 2016",1.1.2,2.3 and up
30,Agar.io,GAME,1.0,3816799,32M,"100,000,000+",Free,0,Everyone,Action,"July 23, 2018",2.2.8,4.0.3 and up
31,Vote for,VIDEO_PLAYERS,1.0,193381,17M,"50,000,000+",Free,0,Teen,Video Players & Editors,"August 3, 2018",1.78,4.0.3 and up
32,CX-10WiFi,FAMILY,0.0,1419,12M,"100,000+",Free,0,Everyone,Casual,"October 25, 2017",2.5_16,4.0 and up
33,TeachersPayTeachers,EDUCATION,0.0,828,Varies with device,"100,000+",Free,0,Everyone,Education,"October 1, 2017",Varies with device,Varies with device
34,ESS Mobile for AE,PRODUCTIVITY,0.0,63,1.8M,"5,000+",Free,0,Everyone,Productivity,"September 27, 2016",2.0.1027,3.0 and up
35,STARZ,ENTERTAINMENT,1.0,88185,Varies with device,"10,000,000+",Free,0,Mature 17+,Entertainment,"June 20, 2018",Varies with device,Varies with device
36,Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,1.0,130104,25M,"10,000,000+",Free,0,Everyone,Health & Fitness,"August 3, 2018",5.3,5.0 and up
37,Moto Rider,GAME,1.0,115176,24M,"10,000,000+",Free,0,Teen,Racing,"June 15, 2018",1.2.1,4.0 and up
38,Podcast App: Free & Offline Podcasts by Player FM,NEWS_AND_MAGAZINES,1.0,66384,19M,"1,000,000+",Free,0,Teen,News & Magazines,"July 25, 2018",4.1.0.72,4.0 and up
39,Phoenix and Arizona Cameras,TRAVEL_AND_LOCAL,1.0,134,5.3M,"10,000+",Free,0,Everyone,Travel & Local,"June 20, 2018",6.3.4,4.0.3 and up
40,TouchPal Keyboard for vivo,TOOLS,1.0,357,58M,"1,000,000+",Free,0,Everyone,Tools,"May 30, 2018",6.2.6.7,4.0.3 and up
41,Mopar Drag N Brag,GAME,1.0,30630,17M,"1,000,000+",Free,0,Everyone,Racing,"May 25, 2015",1.2.5,4.1 and up
42,"Free Professional Resume Builder, CV, Cover Letter",BUSINESS,1.0,831,11M,"50,000+",Free,0,Everyone,Business,"June 13, 2018",1.3.2.9,4.0 and up
43,F.A Sumon songs,FAMILY,1.0,6,5.4M,"1,000+",Free,0,Everyone,Entertainment,"March 18, 2018",1.1,4.1 and up
44,"My Airtel-Online Recharge, Pay Bill, Wallet, UPI",PRODUCTIVITY,1.0,1498393,14M,"50,000,000+",Free,0,Everyone,Productivity,"August 2, 2018",4.3.2.0,4.2 and up
45,dB Sound Meter,TOOLS,1.0,29,2.3M,"5,000+",Free,0,Everyone,Tools,"April 25, 2016",1.2,4.0.3 and up
46,Navy Gunner Shoot War 3D,GAME,0.0,103199,44M,"10,000,000+",Free,0,Teen,Action,"August 2, 2018",1.0.7.8,4.2 and up
47,Remote For Pioneer AV Receivers and Blu-Ray,TOOLS,0.0,150,7.3M,"50,000+",Free,0,Everyone,Tools,"June 1, 2018",Cow V3.11,4.1 and up
48,Video Caller Id,COMMUNICATION,1.0,15287,17M,"1,000,000+",Free,0,Everyone,Communication,"January 24, 2018",2.2.245,4.0.3 and up
49,OptumRx,MEDICAL,0.0,1838,21M,"100,000+",Free,0,Everyone,Medical,"July 2, 2018",2.11.0,4.0.3 and up
50,EP FCU,FINANCE,1.0,2,2.8M,100+,Free,0,Everyone,Finance,"March 22, 2018",3.0.6,4.1 and up
51,News.aw,NEWS_AND_MAGAZINES,1.0,1,1.0M,10+,Free,0,Everyone,News & Magazines,"July 15, 2015",1.0,2.2 and up
52,Tom Loves Angela,FAMILY,1.0,1111915,50M,"100,000,000+",Free,0,Everyone,Entertainment,"April 30, 2018",2.2.1.3,4.1 and up
53,"Chispa, the Dating App for Latino, Latina Singles",DATING,1.0,4195,24M,"100,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up
54,Solitaire+,GAME,1.0,11235,Varies with device,"100,000+",Paid,$2.99,Everyone,Card,"July 30, 2018",Varies with device,Varies with device
55,Advanced Download Manager Pro,TOOLS,1.0,6505,2.0M,"50,000+",Paid,$2.99,Everyone,Tools,"November 3, 2017",6.4.0,4.0 and up
