iter	Passed	Remaining
0	14	15171
1	25	13557
2	36	12803
3	48	12803
4	59	12503
5	75	13191
6	88	13193
7	99	13017
8	110	12791
9	120	12549
10	132	12548
11	144	12525
12	154	12375
13	165	12312
14	171	11870
15	182	11849
16	194	11833
17	205	11796
18	216	11782
19	228	11813
20	242	11895
21	252	11847
22	264	11822
23	274	11751
24	286	11790
25	298	11799
26	309	11772
27	324	11871
28	334	11812
29	347	11850
30	358	11813
31	368	11756
32	379	11732
33	390	11702
34	401	11684
35	412	11653
36	423	11636
37	435	11625
38	442	11504
39	452	11452
40	464	11463
41	478	11507
42	489	11494
43	500	11473
44	510	11445
45	522	11438
46	533	11412
47	546	11442
48	557	11429
49	568	11410
50	579	11377
51	590	11373
52	601	11341
53	611	11315
54	622	11294
55	632	11258
56	645	11286
57	657	11274
58	667	11250
59	678	11227
60	689	11219
61	701	11205
62	712	11196
63	725	11208
64	739	11234
65	748	11195
66	758	11161
67	769	11147
68	780	11130
69	790	11104
70	800	11066
71	809	11034
72	819	11005
73	831	10995
74	842	10983
75	853	10976
76	865	10964
77	875	10945
78	887	10937
79	898	10925
80	902	10833
81	913	10815
82	926	10829
83	941	10855
84	952	10846
85	963	10835
86	973	10813
87	985	10808
88	996	10795
89	1006	10770
90	1017	10751
91	1027	10737
92	1040	10739
93	1052	10740
94	1067	10764
95	1079	10763
96	1090	10750
97	1102	10745
98	1114	10735
99	1124	10712
100	1136	10710
101	1148	10710
102	1159	10698
103	1170	10678
104	1182	10677
105	1193	10667
106	1205	10654
107	1216	10644
108	1227	10631
109	1238	10620
110	1250	10610
111	1260	10587
112	1270	10567
113	1281	10557
114	1293	10547
115	1304	10533
116	1314	10515
117	1329	10531
118	1340	10524
119	1345	10459
120	1353	10426
121	1366	10426
122	1378	10424
123	1390	10414
124	1399	10389
125	1411	10384
126	1421	10367
127	1435	10372
128	1448	10376
129	1465	10405
130	1477	10397
131	1488	10386
132	1499	10372
133	1509	10354
134	1520	10337
135	1533	10340
136	1544	10329
137	1556	10321
138	1567	10305
139	1578	10293
140	1589	10278
141	1599	10262
142	1610	10251
143	1620	10227
144	1633	10230
145	1644	10219
146	1656	10210
147	1667	10197
148	1678	10181
149	1689	10169
150	1701	10161
151	1713	10155
152	1727	10163
153	1745	10187
154	1758	10185
155	1768	10168
156	1779	10155
157	1790	10144
158	1803	10137
159	1814	10125
160	1826	10117
161	1836	10102
162	1846	10084
163	1856	10065
164	1867	10048
165	1877	10034
166	1887	10016
167	1898	10002
168	1909	9988
169	1920	9977
170	1934	9979
171	1944	9958
172	1955	9947
173	1967	9937
174	1978	9924
175	1989	9912
176	2000	9900
177	2010	9882
178	2020	9867
179	2034	9867
180	2050	9877
181	2062	9871
182	2073	9858
183	2083	9841
184	2093	9823
185	2103	9804
186	2114	9791
187	2126	9783
188	2137	9773
189	2149	9761
190	2160	9748
191	2171	9737
192	2182	9725
193	2192	9709
194	2204	9698
195	2215	9685
196	2225	9671
197	2237	9661
198	2249	9651
199	2258	9634
200	2269	9619
201	2281	9610
202	2291	9593
203	2302	9580
204	2314	9572
205	2326	9566
206	2338	9559
207	2349	9546
208	2359	9528
209	2369	9510
210	2374	9475
211	2386	9465
212	2397	9454
213	2407	9438
214	2418	9425
215	2432	9426
216	2450	9442
217	2463	9436
218	2474	9424
219	2485	9409
220	2496	9398
221	2505	9379
222	2517	9369
223	2527	9355
224	2538	9342
225	2550	9332
226	2561	9320
227	2572	9307
228	2582	9293
229	2592	9277
230	2603	9265
231	2614	9253
232	2628	9250
233	2638	9234
234	2649	9221
235	2659	9206
236	2670	9195
237	2681	9182
238	2691	9168
239	2701	9152
240	2711	9136
241	2725	9134
242	2737	9123
243	2749	9116
244	2759	9101
245	2770	9087
246	2781	9076
247	2792	9063
248	2802	9049
249	2813	9037
250	2824	9025
251	2835	9011
252	2846	9002
253	2857	8989
254	2868	8977
255	2880	8966
256	2891	8955
257	2902	8944
258	2914	8933
259	2927	8928
260	2937	8912
261	2946	8895
262	2956	8881
263	2966	8865
264	2976	8852
265	2988	8841
266	2999	8829
267	3010	8818
268	3021	8805
269	3032	8794
270	3047	8792
271	3058	8783
272	3070	8772
273	3080	8759
274	3092	8748
275	3103	8735
276	3113	8722
277	3126	8716
278	3137	8703
279	3148	8691
280	3158	8678
281	3169	8664
282	3180	8653
283	3191	8640
284	3202	8629
285	3213	8617
286	3224	8606
287	3236	8595
288	3247	8584
289	3257	8571
290	3267	8557
291	3278	8544
292	3289	8533
293	3302	8525
294	3314	8515
295	3327	8510
296	3337	8495
297	3348	8483
298	3358	8469
299	3369	8456
300	3382	8450
301	3392	8437
302	3403	8424
303	3413	8410
304	3431	8416
305	3445	8410
306	3457	8400
307	3468	8388
308	3479	8377
309	3490	8365
310	3501	8353
311	3512	8341
312	3524	8332
313	3535	8320
314	3546	8309
315	3557	8296
316	3567	8283
317	3578	8270
318	3590	8260
319	3601	8249
320	3612	8238
321	3625	8229
322	3636	8218
323	3647	8207
324	3658	8194
325	3670	8184
326	3681	8173
327	3692	8162
328	3704	8152
329	3719	8148
330	3730	8136
331	3740	8122
332	3751	8112
333	3762	8099
334	3773	8087
335	3784	8076
336	3796	8065
337	3807	8053
338	3817	8041
339	3829	8030
340	3840	8018
341	3849	8002
342	3859	7988
343	3870	7977
344	3881	7966
345	3893	7954
346	3903	7942
347	3913	7928
348	3927	7923
349	3938	7910
350	3949	7899
351	3960	7888
352	3971	7875
353	3981	7862
354	3993	7851
355	4003	7839
356	4015	7828
357	4032	7827
358	4044	7819
359	4055	7807
360	4066	7795
361	4077	7784
362	4088	7772
363	4100	7760
364	4112	7752
365	4124	7742
366	4135	7730
