App,Category,Rating,Reviews,Type,content_rating,new_genres,date_update,new_day,new_year,size_kb,new_installs,new_price,new_month_num,new_version,new_subversion,min_android
GPS Status & Toolbox,Travel_and_local,1,149723,Free,Everyone,Travel & Local,2018-06-13,13,2018,4100,1e+07,0,6,8,1,4
Fish|Hunt FL,Lifestyle,0,853,Free,Everyone,Lifestyle,2018-03-22,22,2018,34000,1e+05,0,3,3,2,4.1
Allrecipes Dinner Spinner,Food_and_drink,1,61881,Free,Everyone,Food & Drink,2018-04-10,10,2018,,5e+06,0,4,,,
Don't touch my phone,Tools,0,21943,Free,Everyone,Tools,2016-10-19,19,2016,2300,5e+06,0,10,,,2.3
BM SPM Practice,Family,1,6,Free,Everyone,Education,2018-01-24,24,2018,9200,1000,0,1,1,0,4.1
Advanced EX for FIAT,Tools,0,138,Paid,Everyone,Tools,2015-03-05,5,2015,141,5000,4.99,3,1,6,1.6
صور حرف H,Art_and_design,1,13,Free,Everyone,Art & Design,2018-03-27,27,2018,4500,1000,0,3,2,0,
CT Cervical Spine,Medical,1,5,Free,Everyone,Medical,2018-01-20,20,2018,17000,1000,0,1,2,0,4
DV-LOTTERY 2019 REGISTRATION,Family,1,97,Free,Everyone,Entertainment,2018-01-20,20,2018,2600,10000,0,1,3,0,4
Agenda EF,Family,0,79,Free,Everyone,Education,2015-05-27,27,2015,33000,5000,0,5,1,3,3
The Guardian,News_and_magazines,1,247992,Free,Teen,News & Magazines,2018-07-25,25,2018,22000,5e+06,0,7,6,5,4.1
BX Thailand - Crypto Tracking & Analyse Bitcoin,Finance,1,2,Free,Everyone,Finance,2018-03-10,10,2018,34000,100,0,3,1,7,
Nights at Cube Pizzeria 3D – 2,Game,0,47151,Free,Everyone 10+,Action,2017-12-26,26,2017,36000,5e+06,0,12,2,4,4.3
Dirt Trackin Sprint Cars,Game,0,499,Paid,Everyone,Racing,2018-05-10,10,2018,47000,10000,3.99,5,1,0,5
AK Interactive,Family,1,734,Free,Everyone,Entertainment,2018-07-12,12,2018,13000,10000,0,7,2,5,4
Files To SD Card Pro,Tools,1,994,Free,Everyone,Tools,2018-05-18,18,2018,2800,1e+05,0,5,6,0,5
MetaTrader 4,Finance,1,260547,Free,Everyone,Finance,2018-07-31,31,2018,,5e+06,0,7,,,
Hidden Camera Detector,Tools,0,167,Free,Everyone,Tools,2017-11-08,8,2017,2500,10000,0,11,1,0,
My Boy! Free - GBA Emulator,Game,1,531074,Free,Everyone,Arcade,2018-01-09,9,2018,2500,1e+07,0,1,,,
Anime Love Story Games: ✨Shadowtime✨,Family,1,198480,Free,Everyone,Simulation,2018-08-03,3,2018,82000,5e+06,0,8,20,0,4.1
သိင်္ Astrology - Min Thein Kha BayDin,Lifestyle,1,2225,Free,Everyone,Lifestyle,2018-07-26,26,2018,15000,1e+05,0,7,4,2,
Automatic Call Recorder,Tools,1,1648515,Free,Everyone,Tools,2018-08-02,2,2018,7100,1e+08,0,8,5,42,2.3
T-Mobile Content Transfer,Productivity,1,370,Free,Everyone,Productivity,2018-01-25,25,2018,29000,5e+05,0,1,2,1,4
