iter	Logloss
0	0.6931469976
1	0.6931462954
2	0.6931459257
3	0.6931419144
4	0.6931408046
5	0.6931406531
6	0.6931396301
7	0.6931390282
8	0.6931376928
9	0.6931362777
10	0.6931362325
11	0.6931346102
12	0.6931344703
13	0.6931333035
14	0.6931333024
15	0.6931325818
16	0.6931306672
17	0.6931306208
18	0.6931297127
19	0.6931295892
20	0.6931254151
21	0.6931239363
22	0.6931236982
23	0.6931234183
24	0.6931234002
25	0.6931231667
26	0.6931216985
27	0.6931202903
28	0.6931189883
29	0.6931181596
30	0.6931178074
31	0.6931150581
32	0.6931128619
33	0.693112494
34	0.693110799
35	0.6931105195
36	0.6931104257
37	0.6931096268
38	0.693109619
39	0.6931092989
40	0.6931086328
41	0.6931085373
42	0.6931079979
43	0.6931079404
44	0.6931079073
45	0.6931078585
46	0.6931072064
47	0.6931047599
48	0.6931031617
49	0.6931030837
50	0.6931028803
51	0.6931023226
52	0.6931022579
53	0.6931022115
54	0.6931022111
55	0.693101754
56	0.6931015378
57	0.6931011461
58	0.6931005058
59	0.6930996972
60	0.693099192
61	0.6930991811
62	0.6930984603
63	0.6930984591
64	0.6930982855
65	0.6930978363
66	0.6930976352
67	0.6930976281
68	0.693096247
69	0.6930950575
70	0.6930947974
71	0.6930940716
72	0.6930938526
73	0.693092426
74	0.6930917034
75	0.693090182
76	0.6930901809
77	0.6930892842
78	0.6930878788
79	0.6930876283
80	0.6930869439
81	0.6930869321
82	0.6930869295
83	0.6930864921
84	0.6930864681
85	0.6930853984
86	0.6930851332
87	0.6930848376
88	0.6930848358
89	0.6930845921
90	0.693082882
91	0.6930828451
92	0.6930814485
93	0.6930814259
94	0.6930804546
95	0.6930804526
96	0.6930789446
97	0.6930773551
98	0.6930770844
99	0.6930766437
100	0.6930765839
101	0.693075604
102	0.6930748259
103	0.693074469
104	0.6930737708
105	0.6930731056
106	0.6930722292
107	0.6930711493
108	0.6930676309
109	0.6930660765
110	0.6930660299
111	0.6930658144
112	0.6930656834
113	0.6930655364
114	0.6930651503
115	0.6930650564
116	0.6930650383
117	0.6930631288
118	0.6930612524
119	0.6930596404
120	0.6930595313
121	0.6930594967
122	0.6930594706
123	0.6930592085
124	0.6930591545
125	0.6930585931
126	0.6930578611
127	0.6930577761
128	0.6930551999
129	0.6930549459
130	0.693054292
131	0.6930533354
132	0.6930524212
133	0.6930501048
134	0.69304988
135	0.6930493531
136	0.6930481286
137	0.6930463006
138	0.6930451595
139	0.6930450818
140	0.6930442232
141	0.6930441406
142	0.6930435836
143	0.6930430211
144	0.6930428202
145	0.6930423052
146	0.693042303
147	0.6930412315
148	0.6930389599
149	0.6930387273
150	0.6930382109
151	0.6930372416
152	0.6930360436
153	0.6930358874
154	0.6930355032
155	0.6930354942
156	0.6930354874
157	0.6930352674
158	0.6930350017
159	0.6930347334
160	0.6930340925
161	0.6930334271
162	0.6930327618
163	0.6930324481
164	0.6930310268
165	0.693031026
166	0.6930295457
167	0.6930289595
168	0.6930274678
169	0.6930274677
170	0.6930261297
171	0.6930248356
172	0.6930237453
173	0.6930227918
174	0.6930222208
175	0.693019569
176	0.6930195115
177	0.6930189873
178	0.6930183123
179	0.6930169286
180	0.6930167454
181	0.6930166699
182	0.6930166059
183	0.6930162141
184	0.6930153644
185	0.6930151853
186	0.6930148612
187	0.6930141444
188	0.6930122856
189	0.6930121496
190	0.6930120815
191	0.6930112638
192	0.693011214
193	0.6930111588
194	0.6930110791
195	0.6930107005
196	0.6930092782
197	0.6930082677
198	0.6930066192
199	0.6930066153
200	0.6930063092
201	0.6930048572
202	0.6930046903
203	0.693004286
204	0.6930038455
205	0.6930028559
206	0.6930016559
207	0.6930006389
208	0.6929968523
209	0.6929953702
210	0.6929930568
211	0.6929930364
212	0.6929910094
213	0.6929902767
214	0.6929891299
215	0.6929884154
216	0.6929870063
217	0.6929863913
218	0.6929859747
219	0.6929859237
220	0.6929851793
221	0.6929840048
222	0.692983821
223	0.6929831975
224	0.6929801121
225	0.6929785082
226	0.6929775705
227	0.6929772256
228	0.6929771841
229	0.6929757032
230	0.6929745845
231	0.692974482
232	0.692973914
233	0.6929733301
234	0.6929730391
235	0.6929729551
236	0.6929724272
237	0.6929703751
238	0.6929696574
239	0.692967779
240	0.6929677787
241	0.6929657158
242	0.6929649223
243	0.692964856
244	0.6929633282
245	0.692962351
246	0.6929615753
247	0.6929604175
248	0.692959736
249	0.6929596967
250	0.6929596965
251	0.6929592376
252	0.6929565273
253	0.6929560135
254	0.6929537689
255	0.6929532618
256	0.6929525512
257	0.6929525235
258	0.6929499716
259	0.6929491255
260	0.692945926
261	0.6929428797
262	0.6929412668
263	0.6929403277
264	0.6929376737
265	0.6929373243
266	0.6929372795
267	0.6929363647
268	0.6929362922
269	0.6929346654
270	0.6929317196
271	0.6929312546
272	0.6929251286
273	0.6929232457
274	0.6929224684
275	0.6929201683
276	0.6929183505
277	0.6929182074
278	0.6929175345
279	0.6929138325
280	0.6929129768
281	0.6929095979
282	0.6929081493
283	0.6929081391
284	0.6929008017
285	0.6928992133
286	0.6928976137
287	0.6928970898
288	0.6928960213
289	0.6928948895
