iter	Passed	Remaining
0	3	1125
1	7	1111
2	11	1114
3	15	1109
4	19	1100
5	22	1087
6	26	1081
7	31	1094
8	35	1093
9	39	1109
10	45	1146
11	49	1135
12	53	1134
13	57	1124
14	59	1089
15	63	1091
16	67	1088
17	71	1073
18	75	1075
19	79	1073
20	83	1075
21	87	1070
22	92	1068
23	95	1061
24	99	1053
25	103	1046
26	106	1040
27	111	1041
28	115	1036
29	119	1035
30	125	1051
31	129	1047
32	133	1042
33	137	1035
34	141	1030
35	145	1024
36	148	1017
37	153	1016
38	156	1009
39	160	1004
40	164	998
41	168	993
42	172	989
43	175	982
44	179	978
45	183	973
46	187	969
47	192	970
48	196	965
49	200	960
50	204	956
51	208	952
52	211	945
53	214	938
54	218	933
55	222	929
56	226	925
57	230	921
58	234	917
59	238	914
60	242	911
61	246	906
62	250	902
63	253	896
64	257	892
65	261	887
66	264	881
67	268	875
68	272	871
69	276	868
70	280	864
71	284	860
72	287	856
73	291	851
74	296	848
75	299	844
76	303	839
77	307	836
78	311	832
79	315	828
80	319	824
81	323	821
82	327	816
83	331	812
84	334	807
85	338	803
86	342	798
87	345	794
88	349	788
89	353	786
90	357	782
91	362	779
92	367	778
93	371	773
94	374	769
95	377	762
96	380	757
97	384	754
98	388	749
99	393	747
100	397	743
101	401	739
102	405	735
103	409	731
104	412	727
105	416	723
106	420	719
107	424	715
108	428	711
109	432	707
110	436	703
111	440	699
112	443	695
113	447	691
114	451	687
115	454	682
116	458	677
117	462	673
118	466	669
119	470	665
120	474	662
121	478	658
122	481	653
123	485	649
124	488	645
125	492	640
126	496	637
127	499	632
128	503	628
129	507	625
130	511	621
131	516	617
132	519	613
133	523	609
134	527	605
135	531	601
136	535	598
137	539	594
138	543	590
139	547	586
140	551	582
141	555	578
142	558	574
143	562	570
144	566	566
145	570	562
146	573	558
147	578	554
148	582	550
149	585	546
150	589	542
151	593	539
152	597	535
153	601	531
154	609	530
155	615	528
156	619	524
157	624	521
158	628	517
159	632	513
160	635	509
161	639	505
162	645	502
163	649	498
164	653	494
165	655	489
166	660	486
167	665	483
168	674	483
169	677	478
170	681	474
171	685	470
172	689	466
173	694	463
174	705	463
175	715	463
176	720	460
177	724	455
178	728	451
179	734	448
180	740	445
181	745	442
182	749	438
183	753	434
184	757	430
185	761	425
186	765	421
187	769	417
188	773	413
189	778	409
190	784	406
191	791	403
192	794	399
193	799	395
194	803	391
195	808	387
196	812	383
197	817	379
198	820	375
199	823	370
200	827	366
201	831	362
202	835	358
203	839	353
204	842	349
205	847	345
206	851	341
207	855	337
208	859	333
209	863	328
210	867	324
211	871	320
212	875	316
213	879	312
214	883	308
215	887	303
216	891	299
217	895	295
218	899	291
219	903	287
220	907	283
221	910	278
222	914	274
223	918	270
224	922	266
225	927	262
226	931	258
227	934	254
228	938	250
229	942	245
230	946	241
231	949	237
232	953	233
233	958	229
234	962	225
235	965	221
236	970	217
237	974	212
238	978	208
239	982	204
240	985	200
241	989	196
242	992	192
243	996	187
244	1001	184
245	1005	179
246	1009	175
247	1013	171
248	1017	167
249	1021	163
250	1024	159
251	1028	155
252	1033	151
253	1036	146
254	1040	142
255	1044	138
256	1049	134
257	1052	130
258	1056	126
259	1060	122
260	1064	118
261	1068	114
262	1072	110
263	1076	106
264	1080	101
265	1084	97
266	1088	93
267	1095	89
268	1099	85
269	1103	81
270	1107	77
271	1110	73
272	1114	69
273	1118	65
274	1123	61
275	1127	57
276	1132	53
277	1135	49
278	1139	44
279	1144	40
280	1148	36
281	1152	32
282	1156	28
283	1160	24
284	1164	20
285	1168	16
286	1172	12
287	1176	8
288	1180	4
289	1184	0
