App,Category,Rating,Reviews,Type,content_rating,new_genres,date_update,new_day,new_year,size_kb,new_installs,new_price,new_month_num,new_version,new_subversion,min_android,letters_app,words_app,rate_reviews_install,rate_version_subversion,rate_reviews_size,rate_installs_size,mean_reviews_category,mean_reviews_genres
GPS Status & Toolbox,Travel_and_local,1,149723,Free,Everyone,Travel & Local,2018-06-13,13,2018,4100,1e+07,0,6,8,1,4,20,4,0.0149723,8,36.5178048780488,2439.0243902439,160462.488721805,160462.488721805
Fish|Hunt FL,Lifestyle,0,853,Free,Everyone,Lifestyle,2018-03-22,22,2018,34000,1e+05,0,3,3,2,4.1,12,2,0.00853,1.5,0.0250882352941176,2.94117647058824,38441.6803652968,38441.6803652968
Allrecipes Dinner Spinner,Food_and_drink,1,61881,Free,Everyone,Food & Drink,2018-04-10,10,2018,,5e+06,0,4,,,,25,3,0.0123762,,,,61498.2985074627,61498.2985074627
Don't touch my phone,Tools,0,21943,Free,Everyone,Tools,2016-10-19,19,2016,2300,5e+06,0,10,,,2.3,20,4,0.0043886,,9.5404347826087,2173.91304347826,300009.696252466,300009.696252466
BM SPM Practice,Family,1,6,Free,Everyone,Education,2018-01-24,24,2018,9200,1000,0,1,1,0,4.1,15,3,0.006,0,0.000652173913043478,0.108695652173913,64330.0062836625,33912.0745920746
Advanced EX for FIAT,Tools,0,138,Paid,Everyone,Tools,2015-03-05,5,2015,141,5000,4.99,3,1,6,1.6,20,4,0.0276,0.166666666666667,0.978723404255319,35.4609929078014,300009.696252466,300009.696252466
صور حرف H,Art_and_design,1,13,Free,Everyone,Art & Design,2018-03-27,27,2018,4500,1000,0,3,2,0,,9,3,0.013,0,0.00288888888888889,0.222222222222222,10157.65625,9918
CT Cervical Spine,Medical,1,5,Free,Everyone,Medical,2018-01-20,20,2018,17000,1000,0,1,2,0,4,17,3,0.005,0,0.000294117647058824,0.0588235294117647,2982.98023715415,2982.98023715415
DV-LOTTERY 2019 REGISTRATION,Family,1,97,Free,Everyone,Entertainment,2018-01-20,20,2018,2600,10000,0,1,3,0,4,28,3,0.0097,0,0.0373076923076923,3.84615384615385,64330.0062836625,109901.17827298
Agenda EF,Family,0,79,Free,Everyone,Education,2015-05-27,27,2015,33000,5000,0,5,1,3,3,9,2,0.0158,0.333333333333333,0.00239393939393939,0.151515151515152,64330.0062836625,33912.0745920746
The Guardian,News_and_magazines,1,247992,Free,Teen,News & Magazines,2018-07-25,25,2018,22000,5e+06,0,7,6,5,4.1,12,2,0.0495984,1.2,11.2723636363636,227.272727272727,121595.671328671,121595.671328671
