id,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,revenue
1,0,0.0,0,0.0,5,81.08333333,0.04,0.05,0.0,0.0,Dec,3,2,1,2,New_Visitor,False,0
2,0,0.0,0,0.0,3,189.0,0.0,0.066666667,0.0,0.0,Mar,3,2,8,1,Returning_Visitor,False,0
3,0,0.0,1,132.0,8,445.0,0.0,0.014285714,0.0,0.0,Mar,3,2,4,14,Returning_Visitor,True,0
4,0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,Mar,1,8,2,1,Returning_Visitor,False,0
5,0,0.0,0,0.0,4,14.0,0.1,0.15,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,False,0
6,0,0.0,0,0.0,15,89.38333333,0.0,0.0125,39.6497508,0.0,Oct,2,2,6,2,New_Visitor,True,1
7,4,33.0,0,0.0,35,702.9166667000001,0.0,0.005428571,0.0,0.0,Dec,4,1,1,2,New_Visitor,False,0
8,14,375.2785714,0,0.0,156,5432.836783,0.010009921,0.029074729,2.992267778,1.0,May,2,2,6,1,Returning_Visitor,True,0
9,2,102.0,0,0.0,16,502.83333330000005,0.0,0.0044444440000000005,0.0,0.0,Mar,3,2,4,2,Returning_Visitor,True,0
10,1,61.25,3,1083.0,14,2230.5,0.0,0.011764706000000002,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,0
11,0,0.0,0,0.0,10,83.41666667,0.0,0.022222222000000003,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,True,0
12,5,724.5,0,0.0,23,867.3333332999998,0.0,0.0008264460000000001,59.988,0.0,May,1,1,1,2,Returning_Visitor,False,1
13,0,0.0,0,0.0,6,189.0,0.066666667,0.11666666699999999,0.0,0.4,May,2,6,1,3,Returning_Visitor,False,0
14,14,512.5805785,4,211.0,61,2362.7245629999998,0.0056150819999999995,0.024507322,27.61615655,0.0,Oct,1,1,3,1,Returning_Visitor,False,0
15,10,76.16666667,0,0.0,17,404.0,0.0,0.025757576,0.0,0.0,May,1,2,2,11,Returning_Visitor,True,0
16,0,0.0,0,0.0,7,140.45833330000002,0.028571429,0.034285714,0.0,0.0,Nov,3,3,9,2,Returning_Visitor,False,0
17,1,0.0,1,13.83333333,65,3174.088455,0.017014925,0.040540739,0.0,0.0,Dec,3,2,2,13,Returning_Visitor,True,0
18,1,75.0,0,0.0,19,1773.375,0.011764706000000002,0.030392157000000003,28.11635484,0.0,Nov,2,2,1,13,Returning_Visitor,False,1
19,0,0.0,0,0.0,111,2805.038095,0.005405405,0.038192738,0.0,0.0,Aug,4,1,3,3,Returning_Visitor,True,0
20,1,5.5,0,0.0,22,339.25,0.0,0.026984127000000004,0.0,0.0,Mar,2,2,2,3,Returning_Visitor,False,0
21,2,45.5,0,0.0,22,535.0,0.0,0.025,9.650250036000001,0.0,Nov,2,2,3,11,Returning_Visitor,True,1
22,0,0.0,0,0.0,63,1320.189881,0.0,0.000468384,0.0,0.0,Nov,2,6,1,2,Returning_Visitor,False,0
23,9,79.0,1,155.5,55,1743.0666670000003,0.0,0.004371585,0.0,0.0,Mar,2,2,6,2,Returning_Visitor,False,0
24,9,96.18666667,1,35.2,63,1345.136667,0.029166667,0.053287037,2.10185027,0.0,Jul,2,2,9,13,Returning_Visitor,False,0
25,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,2,2,4,1,Returning_Visitor,False,0
26,0,0.0,0,0.0,59,1309.658333,0.017241378999999998,0.030879353999999998,0.0,0.0,Dec,3,2,3,1,Returning_Visitor,False,0
27,11,373.62,9,322.8,191,3677.258176,0.009105690999999999,0.024303937999999997,0.0,0.0,Aug,2,2,6,1,Returning_Visitor,True,0
28,0,0.0,0,0.0,16,980.25,0.0,0.04,0.0,0.0,Mar,2,2,4,3,Returning_Visitor,False,0
29,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,0
30,1,76.6,2,23.2,46,4598.433333,0.0042553190000000005,0.046808511,10.72449269,0.0,Jul,2,2,1,1,Returning_Visitor,False,1
31,2,32.0,0,0.0,50,1245.3,0.004,0.020666667,7.146260888,0.0,Mar,2,2,7,9,Returning_Visitor,True,0
32,2,190.4,1,274.0,39,1321.853333,0.00952381,0.018253968,0.0,0.0,Aug,2,2,8,4,Returning_Visitor,False,0
33,0,0.0,0,0.0,49,3247.583333,0.025531915,0.037163121,0.0,0.0,Dec,2,4,9,1,Returning_Visitor,True,0
34,0,0.0,0,0.0,32,2632.7,0.00625,0.013541667,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,True,0
35,4,85.0,0,0.0,3,43.5,0.0,0.05,0.0,0.0,Dec,1,1,1,8,New_Visitor,True,0
36,0,0.0,0,0.0,25,948.3428571000001,0.0,0.009000000000000001,0.0,0.0,Nov,2,4,1,3,Returning_Visitor,False,0
37,9,243.25,3,1475.25,79,3497.214286,0.0034482759999999997,0.012643678,32.59864309,0.0,Dec,2,2,2,2,Returning_Visitor,False,0
38,0,0.0,0,0.0,4,35.0,0.0,0.05,0.0,0.0,Mar,2,2,9,3,Returning_Visitor,False,0
39,0,0.0,0,0.0,13,546.9583332999999,0.0,0.033846153999999996,0.0,0.0,Dec,2,2,1,3,Returning_Visitor,False,0
40,0,0.0,0,0.0,9,740.1666667000001,0.0,0.014285714,0.0,0.0,Nov,3,2,1,1,Returning_Visitor,False,0
41,0,0.0,0,0.0,8,140.25,0.121428571,0.14375,0.0,0.0,Dec,3,2,2,13,Returning_Visitor,False,0
42,0,0.0,0,0.0,12,547.3333332999999,0.0,0.033333333,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,0
43,0,0.0,0,0.0,8,194.4,0.0,0.025,0.0,0.0,Aug,2,10,6,4,Returning_Visitor,False,0
44,5,55.5,0,0.0,63,1656.316667,0.004166667,0.015989583,0.0,0.0,Mar,2,2,2,2,Returning_Visitor,True,0
45,1,5.0,0,0.0,108,2367.4,0.0,0.003773585,0.0,0.0,Dec,2,2,1,2,New_Visitor,True,0
46,9,65.54166667,0,0.0,6,744.1666667000001,0.0,0.004,0.0,0.0,Dec,2,4,1,2,Returning_Visitor,False,0
47,0,0.0,0,0.0,3,164.0,0.0,0.1,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,0
48,0,0.0,0,0.0,8,863.3333332999998,0.0,0.014583333,0.0,0.0,Mar,2,2,4,3,Returning_Visitor,True,0
49,0,0.0,1,14.0,19,1666.75,0.0,0.021052632,0.0,0.0,Nov,8,13,9,20,Other,False,0
50,0,0.0,1,0.0,36,671.425,0.005405405,0.016216216000000002,0.0,0.0,Dec,2,4,1,2,Returning_Visitor,False,0
51,0,0.0,0,0.0,7,108.25,0.0,0.028571429,0.0,0.0,Dec,2,2,7,2,New_Visitor,True,0
52,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,2,2,1,13,Returning_Visitor,False,0
53,4,103.0,0,0.0,32,1092.183333,0.0,0.00625,0.0,0.0,Jul,2,2,6,1,Returning_Visitor,False,0
54,4,47.0,0,0.0,26,380.1666667,0.0,0.015873016,0.0,0.0,May,4,1,1,1,Returning_Visitor,False,0
55,0,0.0,0,0.0,4,6.0,0.1,0.15,0.0,0.2,May,2,2,3,13,Returning_Visitor,False,0
56,0,0.0,0,0.0,7,98.33333333,0.028571429,0.032653061000000004,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,0
57,1,38.0,2,20.0,57,2931.580303,0.004,0.021833332999999996,0.0,1.0,May,2,2,4,2,Returning_Visitor,True,0
58,3,156.8,4,262.75,12,350.42539680000004,0.002614379,0.041356389,0.0,0.4,May,3,2,1,4,Returning_Visitor,False,0
59,6,186.8666667,0,0.0,126,3372.8267969999997,0.00625,0.023480902999999997,0.0,0.6,May,2,2,7,2,Returning_Visitor,False,0
60,0,0.0,0,0.0,7,169.9866667,0.0125,0.033333333,21.27271783,0.0,Jul,2,2,7,2,New_Visitor,False,1
61,0,0.0,0,0.0,5,47.0,0.02,0.06,0.0,0.0,May,2,2,3,1,Returning_Visitor,False,0
62,3,28.0,0,0.0,20,633.75,0.0,0.019047619,32.43717827,0.0,Dec,2,10,1,1,Returning_Visitor,True,1
63,0,0.0,0,0.0,33,1996.8166670000003,0.0,0.00625,44.06491359,0.0,Nov,4,2,6,2,Returning_Visitor,False,1
64,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,3,2,7,13,Returning_Visitor,False,0
