iter	Logloss
0	0.6842258434
1	0.6756119269
2	0.667580646
3	0.6581524513
4	0.650900769
5	0.6415954172
6	0.633266161
7	0.6262548426
8	0.6173111064
9	0.6099490488
10	0.603472861
11	0.5955299681
12	0.5886319475
13	0.5808375981
14	0.5736153566
15	0.5663321361
16	0.560458647
17	0.5546486247
18	0.5488851621
19	0.5433665932
20	0.5369920913
21	0.5332304523
22	0.5271296826
23	0.5215220277
24	0.5167393849
25	0.5125646794
26	0.5069346111
27	0.502355249
28	0.4981363206
29	0.4935231512
30	0.4892014023
31	0.4862151576
32	0.4822241067
33	0.4782683387
34	0.4746530574
35	0.4710511521
36	0.4676011561
37	0.4639162785
38	0.4612226542
39	0.4578460057
40	0.4538895684
41	0.4517124365
42	0.4494476589
43	0.446853537
44	0.4435003947
45	0.4396956198
46	0.4364462912
47	0.433396851
48	0.4311547828
49	0.4284126584
50	0.4260183707
51	0.4231494503
52	0.4209099078
53	0.4186676834
54	0.4161453519
55	0.4137018152
56	0.4114662097
57	0.4089482163
58	0.4068402356
59	0.4039488495
60	0.4011239171
61	0.3988534889
62	0.3970432739
63	0.3948715585
64	0.3923765732
65	0.390550725
66	0.3883716905
67	0.3863791097
68	0.3843536904
69	0.3820838078
70	0.380352961
71	0.3786588626
72	0.3771127858
73	0.3755140738
74	0.3742737811
75	0.3724394386
76	0.3708237932
77	0.3697956232
78	0.3682496737
79	0.3668669387
80	0.3654550252
81	0.3642587564
82	0.362887555
83	0.3614679802
84	0.3603615911
85	0.3587090004
86	0.35711901
87	0.3559280601
88	0.3544545266
89	0.3532675573
90	0.3525374636
91	0.3512991156
92	0.3499809963
93	0.3489900989
94	0.3479597498
95	0.3470821359
96	0.3458551908
97	0.3446469357
98	0.343219615
99	0.3424729504
100	0.3414612063
101	0.3404630514
102	0.3399342117
103	0.3391013575
104	0.3382868996
105	0.3373814448
106	0.3364984367
107	0.3355088777
108	0.3348077425
109	0.3340633896
110	0.3329626212
111	0.3322623512
112	0.3315217841
113	0.3311206861
114	0.3305404671
115	0.329623739
116	0.3289367978
117	0.3280476863
118	0.3273895018
119	0.3266548503
120	0.3259431315
121	0.3255481929
122	0.3249451262
123	0.3246346404
124	0.3241286274
125	0.3234756483
126	0.3229051814
127	0.3223101525
128	0.3217412079
129	0.3214656883
130	0.3209734723
131	0.3203633952
132	0.3200310028
133	0.3196007587
134	0.3191771173
135	0.318638709
136	0.3180111866
137	0.317446849
138	0.3167239391
139	0.3163198249
140	0.3157627298
141	0.3152073973
142	0.3146227146
143	0.3140067753
144	0.3134126562
145	0.3128971967
146	0.3124327502
147	0.3120366283
148	0.3116488205
149	0.3112309441
150	0.3107187017
151	0.3102131066
152	0.309645902
153	0.3091860243
154	0.3088156095
155	0.3084051587
156	0.3081179664
157	0.3079501644
158	0.307644466
159	0.3072815894
160	0.306928094
161	0.3065750399
162	0.3063577792
163	0.3061347923
164	0.3057385948
165	0.3053044396
166	0.3050481969
167	0.3047481547
168	0.3044678382
169	0.3040402167
170	0.3036073408
171	0.3032374727
172	0.302909677
173	0.3025825141
174	0.3021986111
175	0.301930678
176	0.3016550463
177	0.301386501
178	0.3013071925
179	0.3010651065
180	0.3008118519
181	0.3005499071
182	0.3003228235
183	0.2998946979
184	0.2995726413
185	0.2993281712
186	0.2990787804
187	0.2988099607
188	0.298551187
189	0.2982679884
190	0.2980443494
191	0.2978257566
192	0.2975258448
193	0.2973364933
194	0.2971299792
195	0.2969570041
196	0.296757658
197	0.2965948877
198	0.2963833422
199	0.2961233119
200	0.2959559623
201	0.295681617
202	0.2954896713
203	0.2953479412
204	0.29514088
205	0.2951163288
206	0.2948845809
207	0.2947303003
208	0.2944968817
209	0.2943141315
210	0.2941051051
211	0.2938871333
212	0.2937115342
213	0.2934734738
214	0.2932621549
215	0.2931071215
216	0.2929730489
217	0.2927647598
218	0.2926226917
219	0.2925163714
220	0.2923705513
221	0.2922157675
222	0.2920815883
223	0.291986919
224	0.2917828033
225	0.2916479837
226	0.2915235903
227	0.2913604353
228	0.2912282557
229	0.2910514699
230	0.2908957195
231	0.2907856744
232	0.2906269339
233	0.2904823796
234	0.2903247258
