iter	Passed	Remaining
0	37	37241
1	124	62044
2	248	82706
3	280	69806
4	298	59445
5	323	53605
6	359	51049
7	422	52347
8	565	62307
9	694	68780
10	811	72985
11	924	76146
12	946	71872
13	993	69944
14	1043	68528
15	1080	66441
16	1123	64978
17	1140	62205
18	1165	60175
19	1214	59509
20	1342	62574
21	1468	65281
22	1494	63469
23	1535	62433
24	1623	63306
25	1742	65261
26	1776	64010
27	1884	65434
28	1914	64090
29	1950	63065
30	2064	64525
31	2101	63568
32	2141	62741
33	2184	62068
34	2299	63410
35	2308	61821
36	2330	60656
37	2347	59440
38	2411	59430
39	2429	58305
40	2546	59566
41	2664	60771
42	2693	59944
43	2825	61385
44	2940	62402
45	2964	61484
46	3077	62400
47	3202	63519
48	3317	64381
49	3368	64002
50	3504	65209
51	3619	65989
52	3747	66955
53	3777	66180
54	3808	65428
55	3956	66701
56	3981	65875
57	4050	65786
58	4158	66326
59	4211	65980
60	4231	65137
61	4251	64321
62	4386	65245
63	4506	65908
64	4642	66779
65	4673	66137
66	4799	66829
67	4898	67144
68	4915	66326
69	4927	65465
70	5032	65853
71	5056	65178
72	5067	64344
73	5184	64875
74	5264	64927
75	5346	65006
76	5370	64380
77	5487	64869
78	5667	66072
79	5726	65859
80	5862	66508
81	5905	66114
82	6007	66368
83	6054	66025
84	6168	66402
85	6280	66744
86	6325	66385
87	6422	66557
88	6540	66948
89	6669	67433
90	6698	66907
91	6743	66557
92	6864	66943
93	6990	67374
94	7108	67721
95	7141	67249
96	7255	67546
97	7338	67544
98	7428	67602
99	7468	67219
100	7499	66751
101	7509	66111
102	7536	65633
103	7558	65116
104	7699	65632
105	7827	66013
106	7875	65723
107	7900	65255
108	8037	65703
109	8201	66360
110	8329	66714
111	8455	67042
112	8577	67332
113	8725	67814
114	8859	68180
115	9027	68793
116	9150	69059
117	9273	69316
118	9408	69655
119	9541	69974
120	9704	70500
121	9830	70750
122	9934	70834
123	9964	70397
124	9979	69859
125	10080	69921
126	10194	70079
127	10208	69545
128	10355	69921
129	10454	69966
130	10592	70267
131	10710	70430
132	10864	70823
133	10892	70391
134	11068	70920
135	11196	71133
136	11347	71483
137	11495	71808
138	11511	71304
139	11529	70822
140	11557	70408
141	11686	70610
142	11819	70837
143	11983	71234
144	12110	71412
145	12273	71789
146	12420	72070
147	12487	71889
148	12532	71578
149	12660	71742
150	12802	71983
151	12924	72107
152	13068	72348
153	13089	71906
154	13264	72313
155	13389	72440
156	13532	72662
157	13698	72998
158	13734	72647
159	13869	72814
160	13987	72892
161	14022	72537
162	14149	72656
163	14268	72736
164	14413	72942
165	14543	73067
166	14693	73292
167	14847	73528
168	14984	73683
169	15008	73276
170	15128	73343
171	15257	73450
172	15398	73611
173	15458	73384
174	15642	73742
175	15773	73847
176	15927	74057
177	16076	74240
178	16100	73845
179	16254	74049
180	16270	73622
181	16391	73673
182	16557	73920
183	16696	74046
184	16855	74256
185	16994	74375
186	17161	74612
187	17297	74709
188	17421	74755
189	17451	74398
190	17601	74551
191	17757	74727
192	17892	74813
193	18023	74881
194	18162	74980
195	18317	75137
196	18447	75193
197	18585	75281
198	18728	75384
199	18895	75580
200	19056	75751
201	19176	75756
202	19313	75826
203	19432	75825
204	19595	75993
205	19741	76090
206	19850	76044
207	20009	76189
208	20150	76262
209	20307	76395
210	20422	76366
211	20533	76324
212	20661	76339
213	20793	76373
214	20942	76463
215	21083	76524
216	21198	76489
217	21308	76438
218	21457	76522
219	21592	76554
220	21631	76250
221	21781	76334
222	21919	76373
223	22057	76415
224	22167	76354
225	22300	76372
226	22442	76423
227	22556	76376
228	22694	76409
229	22815	76381
230	22942	76375
231	23064	76352
232	23188	76333
233	23331	76375
234	23469	76400
235	23605	76419
236	23765	76512
237	23908	76548
238	24041	76551
239	24099	76315
240	24239	76339
241	24388	76391
242	24519	76384
243	24559	76095
244	24701	76121
245	24729	75797
246	24878	75844
247	24999	75805
248	25143	75833
249	25155	75467
250	25293	75477
251	25430	75483
252	25573	75507
253	25718	75535
254	25821	75440
255	25835	75085
256	25983	75118
257	26132	75156
258	26251	75105
259	26384	75092
260	26526	75106
261	26660	75096
262	26798	75097
263	26948	75129
264	27102	75172
265	27276	75267
266	27455	75374
267	27631	75470
268	27808	75569
269	28006	75721
270	28139	75696
271	28309	75768
272	28341	75473
273	28363	75152
274	28372	74801
275	28491	74738
276	28633	74736
277	28797	74790
278	28958	74836
279	28983	74529
280	29124	74520
281	29282	74555
282	29440	74588
283	29472	74302
284	29635	74349
285	29771	74324
286	29917	74325
287	30046	74280
288	30175	74237
289	30199	73937
290	30327	73889
291	30483	73912
292	30631	73912
293	30782	73920
294	30928	73915
295	31044	73835
296	31168	73776
297	31290	73711
298	31416	73654
299	31556	73632
300	31682	73575
301	31819	73543
302	31835	73232
303	31877	72982
304	31993	72903
305	32115	72836
306	32261	72825
307	32382	72756
308	32510	72701
309	32639	72649
310	32788	72641
311	32900	72548
312	32909	72233
313	32967	72025
314	33106	71994
315	33245	71962
316	33388	71937
317	33508	71863
318	33648	71833
319	33789	71802
320	33941	71796
321	34097	71796
322	34241	71768
323	34398	71770
324	34529	71716
325	34689	71720
326	34833	71691
327	34972	71651
328	34988	71359
329	35117	71299
330	35250	71247
331	35391	71209
332	35533	71174
333	35682	71151
334	35813	71092
335	35882	70910
336	36031	70886
337	36155	70812
338	36286	70753
339	36418	70694
340	36562	70658
341	36687	70585
342	36828	70542
343	36845	70262
344	36862	69986
345	37051	70034
346	37192	69991
347	37204	69705
348	37368	69705
349	37491	69626
350	37633	69583
351	37782	69554
352	37925	69512
353	38056	69447
354	38195	69396
355	38334	69346
356	38573	69476
357	39021	69976
358	39193	69980
359	39373	69996
360	39519	69952
361	39696	69962
362	39857	69942
363	40021	69927
364	40059	69692
365	40219	69669
366	40386	69659
367	40526	69599
368	40669	69545
369	40806	69481
370	40957	69439
371	41107	69395
372	41252	69344
373	41265	69069
374	41387	68978
375	41537	68934
376	41684	68884
377	41833	68837
378	41976	68778
379	42119	68720
380	42146	68473
381	42163	68212
382	42309	68159
383	42429	68063
384	42579	68017
385	42726	67964
386	42865	67897
387	43005	67832
388	43013	67560
389	43156	67500
390	43297	67437
391	43434	67367
392	43574	67301
393	43611	67077
394	43647	66852
395	43717	66680
396	43892	66668
397	43931	66449
398	43955	66208
399	44095	66142
400	44226	66063
401	44363	65993
402	44506	65930
403	44637	65850
404	44787	65798
405	44926	65730
406	45059	65651
407	45188	65568
408	45321	65489
409	45463	65423
410	45583	65324
411	45592	65068
412	45719	64981
413	45846	64893
414	45966	64796
415	46097	64713
416	46119	64479
417	46239	64381
418	46271	64161
419	46403	64081
420	46533	63996
421	46946	64301
422	47145	64309
423	47171	64081
424	47344	64053
425	47386	63849
426	47542	63798
427	47703	63753
428	47872	63718
429	48015	63648
430	48201	63634
431	48381	63612
432	48542	63565
433	48725	63545
434	48899	63513
435	48919	63281
436	49016	63150
437	49080	62975
438	49238	62922
439	49371	62836
440	49541	62797
441	49564	62572
442	49742	62542
443	49887	62471
444	50057	62431
445	50241	62408
446	50385	62333
447	50542	62275
448	50704	62222
449	50840	62138
450	50849	61898
451	50858	61660
452	50991	61572
453	51135	61497
454	51177	61300
455	51302	61203
456	51320	60978
457	51456	60894
458	51612	60832
459	51748	60748
460	51801	60566
461	51934	60477
462	52066	60388
463	52094	60178
464	52106	59951
465	52220	59840
466	52347	59745
467	52488	59666
468	52629	59587
469	52778	59516
470	52923	59440
471	53059	59355
472	53209	59283
473	53360	59213
474	53489	59120
475	53645	59055
476	53822	59012
477	53838	58794
478	53996	58731
479	54012	58513
480	54153	58431
481	54162	58208
482	54216	58032
483	54363	57957
484	54383	57746
485	54538	57681
486	54557	57470
487	54574	57257
488	54722	57184
489	54867	57106
490	55008	57025
491	55142	56935
492	55166	56733
493	55303	56647
494	55445	56565
495	55580	56476
496	55722	56394
497	55747	56194
498	56173	56398
499	56212	56212
500	56386	56161
501	56441	55991
502	56613	55937
503	56792	55890
504	56832	55707
505	56976	55624
506	57159	55581
507	57212	55410
508	57401	55371
509	57587	55329
510	57770	55283
511	57927	55212
512	58091	55147
513	58237	55065
514	58410	55007
515	58425	54802
516	58575	54722
517	58775	54690
518	58951	54635
519	59007	54468
520	59185	54414
521	59365	54361
522	59546	54309
523	59708	54239
524	59737	54048
525	59879	53959
526	59895	53758
527	59924	53568
528	60086	53498
529	60234	53415
530	60255	53219
531	60396	53131
532	60559	53060
533	60704	52974
534	60847	52885
535	61010	52815
536	61144	52718
537	61289	52631
538	61420	52532
539	61576	52454
540	61706	52353
541	61843	52259
542	61989	52171
543	62125	52075
544	62267	51985
545	62383	51871
546	62530	51785
547	62556	51597
548	62581	51409
549	62594	51213
550	62742	51127
551	62891	51042
552	62909	50851
553	62932	50663
554	63053	50556
555	63195	50465
556	63225	50285
557	63360	50188
558	63474	50075
559	63619	49986
560	63786	49914
561	63946	49836
562	64369	49963
563	64537	49890
564	64568	49711
565	64737	49639
566	64916	49574
567	64943	49393
568	65129	49333
569	65177	49168
570	65332	49085
571	65522	49027
572	65550	48848
573	65580	48671
574	65759	48604
575	65883	48497
576	66052	48423
577	66204	48336
578	66214	48145
579	66368	48059
580	66511	47966
581	66666	47880
582	66674	47689
583	66708	47518
584	66852	47425
585	66884	47253
586	67027	47158
587	67151	47051
588	67176	46875
589	67320	46782
590	67446	46676
591	67471	46500
592	67484	46317
593	67500	46136
594	67656	46052
595	67782	45946
596	67810	45775
597	67933	45667
598	68075	45572
599	68197	45464
600	68325	45360
601	68337	45179
602	68359	45006
603	68506	44915
604	68651	44822
605	68684	44656
606	68819	44556
607	68971	44468
608	69113	44373
609	69255	44277
610	69382	44173
611	69400	43998
612	69529	43895
613	69580	43742
614	69637	43594
615	69659	43423
616	69799	43327
617	69924	43222
618	69976	43071
619	70029	42921
620	70389	42959
621	70550	42874
622	70582	42711
623	70756	42635
624	70787	42472
625	70946	42386
626	71007	42241
627	71179	42163
628	71337	42076
629	71354	41906
630	71521	41824
631	71683	41739
632	71822	41641
633	71838	41471
634	72004	41388
635	72176	41308
636	72242	41168
637	72409	41085
638	72598	41014
639	72619	40848
640	72795	40770
641	72976	40694
642	73172	40626
643	73336	40539
644	73512	40460
645	73740	40408
646	73946	40344
647	74114	40259
648	74311	40189
649	74475	40102
650	74511	39945
651	74671	39855
652	74852	39776
653	75008	39683
654	75030	39519
655	75048	39354
656	75201	39260
657	75374	39176
658	75544	39090
659	75724	39009
660	75898	38925
661	76066	38837
662	76092	38677
663	76240	38579
664	76255	38414
665	76417	38323
666	76432	38158
667	76586	38063
668	76613	37905
669	76772	37813
670	76913	37711
671	77050	37607
672	77115	37469
673	77255	37367
674	77403	37268
675	77565	37176
676	77657	37050
677	77807	36953
678	77950	36851
679	78082	36744
680	78233	36646
681	78374	36543
682	78510	36438
683	78674	36346
684	78823	36247
685	78956	36140
686	79070	36024
687	79115	35878
688	79265	35778
689	79316	35635
690	79466	35535
691	79612	35434
692	79746	35327
693	79884	35222
694	80018	35116
695	80157	35011
696	80292	34904
697	80434	34801
698	80453	34644
699	80479	34491
700	80632	34392
701	80801	34300
702	80819	34144
703	80957	34038
704	81101	33936
705	81257	33838
706	81279	33684
707	81314	33536
708	81442	33426
709	81560	33313
710	81583	33161
711	81727	33058
712	81859	32950
713	82002	32847
714	82142	32742
715	82290	32640
716	82346	32502
717	82659	32465
718	82795	32358
719	82959	32262
720	83146	32174
721	83300	32073
722	83471	31979
723	83635	31883
724	83815	31792
725	83850	31646
726	83876	31496
727	83904	31348
728	84067	31251
729	84225	31151
730	84288	31017
731	84490	30933
732	84671	30842
733	84846	30748
734	85017	30652
735	85172	30550
736	85326	30448
737	85336	30295
738	85377	30153
739	85522	30048
740	85662	29941
741	85848	29850
742	85887	29707
743	85904	29558
744	86072	29461
745	86264	29371
746	86448	29279
747	86600	29175
748	86653	29038
749	86811	28937
750	86991	28842
751	87131	28734
752	87304	28637
753	87474	28539
754	87643	28440
755	87664	28293
756	87840	28196
757	87885	28058
758	88138	27985
759	88350	27900
760	88581	27820
761	88835	27746
762	88886	27609
763	88934	27471
764	89137	27382
765	89149	27233
766	89332	27137
767	89373	26998
768	89551	26900
769	89581	26758
770	89721	26648
771	89805	26522
772	89829	26379
773	89999	26279
774	90156	26174
775	90284	26061
776	90432	25954
777	90568	25843
778	90581	25697
779	90649	25567
780	90660	25421
781	90813	25316
782	90931	25200
783	91085	25094
784	91205	24979
785	91342	24869
786	91484	24760
787	91508	24618
788	91648	24509
789	91797	24401
790	91943	24293
791	92072	24180
792	92215	24071
793	92234	23929
794	92379	23821
795	92416	23684
796	92534	23569
797	92696	23464
798	92820	23350
799	92950	23237
800	92967	23096
801	93011	22962
802	93159	22854
803	93332	22752
804	93461	22639
805	93588	22526
806	93747	22420
807	93888	22310
808	94033	22200
809	94188	22093
810	94354	21988
811	94508	21881
812	94649	21770
813	94783	21658
814	94932	21549
815	94942	21408
816	95081	21297
817	95230	21188
818	95241	21048
819	95248	20908
820	95403	20800
821	95542	20689
822	95555	20550
823	95959	20496
824	96000	20363
825	96178	20260
826	96371	20160
827	96527	20051
828	96710	19948
829	96729	19812
830	96920	19710
831	97107	19608
832	97292	19505
833	97462	19399
834	97487	19263
835	97645	19155
836	97811	19048
837	97981	18941
838	98162	18836
839	98338	18731
840	98503	18623
841	98720	18524
842	98899	18419
843	99075	18312
844	99255	18206
845	99431	18099
846	99613	17993
847	99780	17885
848	99954	17777
849	100127	17669
850	100280	17557
851	100421	17444
852	100592	17335
853	100757	17225
854	100832	17100
855	100973	16986
856	101001	16853
857	101017	16718
858	101169	16606
859	101206	16475
860	101345	16361
861	101352	16225
862	101515	16115
863	101538	15982
864	101677	15868
865	101826	15756
866	101971	15642
867	102131	15531
868	102284	15419
869	102418	15303
870	102549	15188
871	102704	15075
872	102856	14963
873	102890	14833
874	103040	14720
875	103182	14605
876	103329	14492
877	103361	14362
878	103496	14246
879	103664	14136
880	103697	14006
881	103869	13896
882	103892	13765
883	103969	13643
884	104108	13528
885	104244	13412
886	104290	13286
887	104469	13176
888	104626	13063
889	104777	12949
890	104941	12837
891	105070	12721
892	105214	12606
893	105361	12492
894	105505	12377
895	105642	12262
896	105786	12147
897	105936	12032
898	106089	11918
899	106243	11804
900	106252	11674
901	106390	11559
902	106526	11443
903	106548	11314
904	106665	11196
905	106685	11068
906	106709	10941
907	107090	10850
908	107283	10740
909	107453	10627
910	107626	10514
911	107804	10402
912	107983	10289
913	108140	10175
914	108309	10061
915	108462	9946
916	108676	9836
917	108885	9726
918	108944	9602
919	109123	9488
920	109161	9363
921	109319	9248
922	109472	9132
923	109482	9005
924	109638	8889
925	109784	8773
926	109976	8660
927	110167	8547
928	110369	8435
929	110548	8320
930	110727	8206
931	110904	8091
932	111088	7977
933	111249	7861
934	111428	7746
935	111600	7630
936	111795	7516
937	111958	7400
938	112097	7282
939	112257	7165
940	112417	7048
941	112551	6929
942	112721	6813
943	112761	6689
944	112776	6563
945	112970	6448
946	113154	6332
947	113297	6214
948	113454	6097
949	113630	5980
950	113785	5862
951	113939	5744
952	114105	5627
953	114284	5510
954	114421	5391
955	114568	5273
956	114715	5154
957	114871	5036
958	115023	4917
959	115168	4798
960	115321	4680
961	115342	4556
962	115365	4432
963	115411	4309
964	115558	4191
965	115729	4073
966	115874	3954
967	116221	3842
968	116398	3723
969	116421	3600
970	116597	3482
971	116774	3363
972	116962	3245
973	117140	3126
974	117324	3008
975	117474	2888
976	117653	2769
977	117855	2651
978	117973	2530
979	118144	2411
980	118308	2291
981	118479	2171
982	118514	2049
983	118715	1930
984	118898	1810
985	119073	1690
986	119265	1570
987	119434	1450
988	119606	1330
989	119774	1209
990	119955	1089
991	120114	968
992	120281	847
993	120464	727
994	120612	606
995	120776	485
996	120965	363
997	121133	242
998	121303	121
999	121369	0
