iter	Logloss
0	0.6771277504
1	0.662061194
2	0.6478543056
3	0.6349151964
4	0.6220758375
5	0.6100301829
6	0.5985193244
7	0.5876090466
8	0.5773457881
9	0.5675047125
10	0.5582316312
11	0.5493598798
12	0.5409255055
13	0.532959312
14	0.5252843534
15	0.5180015798
16	0.5110610641
17	0.5044487071
18	0.4984543564
19	0.49242883
20	0.4867124418
21	0.4813042983
22	0.47615709
23	0.471119537
24	0.4662733415
25	0.4617046473
26	0.457290132
27	0.4531117292
28	0.4481813924
29	0.4435776305
30	0.4391730196
31	0.4348054049
32	0.4315609795
33	0.4277455569
34	0.4239110984
35	0.4212163042
36	0.4176482626
37	0.4141941388
38	0.4109759743
39	0.4089578428
40	0.4058823168
41	0.4036218805
42	0.4006871098
43	0.3984589389
44	0.3957992367
45	0.392671911
46	0.3892945336
47	0.3861381568
48	0.3831738564
49	0.3807060166
50	0.3779107757
51	0.3755840947
52	0.3731192594
53	0.3707186862
54	0.3688476763
55	0.3670037745
56	0.3648947449
57	0.3633091158
58	0.3616030532
59	0.3598170242
60	0.3579196812
61	0.3563778841
62	0.3551547534
63	0.3537574057
64	0.3524473902
65	0.3510794654
66	0.3498066015
67	0.3484111152
68	0.3473258577
69	0.3461244555
70	0.3448595612
71	0.3437965334
72	0.3427749157
73	0.3419872146
74	0.3412762546
75	0.3402413266
76	0.3391183362
77	0.3384036489
78	0.3375270146
79	0.3366232143
80	0.3356785214
81	0.3347213367
82	0.3337918804
83	0.3328770266
84	0.3322502497
85	0.3314832408
86	0.3307955901
87	0.3300984236
88	0.3293502974
89	0.3286453101
90	0.3281285549
91	0.3275922214
92	0.3270101714
93	0.3263554736
94	0.3257459535
95	0.3252623739
96	0.3247015322
97	0.3243008908
98	0.3237339593
99	0.3232456648
