iter	Passed	Remaining
0	74	7379
1	97	4788
2	125	4054
3	139	3355
4	149	2834
5	158	2487
6	172	2290
7	196	2263
8	221	2242
9	245	2210
10	262	2126
11	285	2094
12	309	2072
13	336	2064
14	344	1951
15	364	1914
16	389	1902
17	413	1881
18	438	1869
19	461	1846
20	487	1833
21	505	1793
22	529	1773
23	553	1752
24	577	1731
25	596	1697
26	620	1678
27	645	1658
28	669	1640
29	694	1619
30	718	1598
31	742	1578
32	760	1543
33	786	1526
34	811	1507
35	833	1482
36	857	1460
37	885	1444
38	911	1424
39	921	1382
40	945	1360
41	964	1332
42	993	1317
43	1018	1295
44	1044	1276
45	1071	1257
46	1089	1228
47	1115	1208
48	1147	1194
49	1171	1171
50	1195	1149
51	1221	1127
52	1246	1105
53	1269	1081
54	1293	1058
55	1316	1034
56	1340	1011
57	1357	982
58	1380	959
59	1389	926
60	1397	893
61	1408	863
62	1424	836
63	1447	814
64	1489	802
65	1510	777
66	1534	755
67	1558	733
68	1582	710
69	1607	689
70	1631	666
71	1655	643
72	1679	621
73	1702	598
74	1726	575
75	1749	552
76	1773	529
77	1797	506
78	1820	483
79	1844	461
80	1868	438
81	1893	415
82	1916	392
83	1940	369
84	1961	346
85	1984	323
86	2008	300
87	2035	277
88	2058	254
89	2083	231
90	2108	208
91	2131	185
92	2154	162
93	2177	139
94	2201	115
95	2224	92
96	2246	69
97	2270	46
98	2294	23
99	2318	0
