uniqueid,bank_account
uniqueid_7867 x Argentina,1
uniqueid_6722 x Argentina,0
uniqueid_6714 x Argentina,1
uniqueid_8103 x Argentina,1
uniqueid_8657 x Argentina,1
uniqueid_7407 x Argentina,1
uniqueid_8440 x Argentina,0
uniqueid_6637 x Argentina,0
uniqueid_8506 x Argentina,0
uniqueid_6875 x Argentina,0
uniqueid_7392 x Argentina,
uniqueid_8058 x Argentina,
uniqueid_6425 x Argentina,
uniqueid_6669 x Argentina,
uniqueid_6734 x Argentina,
uniqueid_8373 x Argentina,
uniqueid_6671 x Argentina,
uniqueid_7913 x Argentina,
uniqueid_7847 x Argentina,
uniqueid_7676 x Argentina,
uniqueid_7914 x Argentina,
uniqueid_6659 x Argentina,
uniqueid_6122 x Argentina,
uniqueid_8082 x Argentina,
uniqueid_7220 x Argentina,
uniqueid_6345 x Argentina,
uniqueid_6648 x Argentina,
uniqueid_7518 x Argentina,
uniqueid_6573 x Argentina,
uniqueid_6643 x Argentina,
uniqueid_6642 x Argentina,
uniqueid_6149 x Argentina,
uniqueid_6740 x Argentina,
uniqueid_8387 x Argentina,
uniqueid_7189 x Argentina,
uniqueid_6331 x Argentina,
uniqueid_6610 x Argentina,
uniqueid_8215 x Argentina,
uniqueid_7971 x Argentina,
uniqueid_8262 x Argentina,
uniqueid_6715 x Argentina,
uniqueid_6598 x Argentina,
uniqueid_6746 x Argentina,
uniqueid_6747 x Argentina,
uniqueid_6590 x Argentina,
uniqueid_6596 x Argentina,
uniqueid_6476 x Argentina,
uniqueid_8263 x Argentina,
uniqueid_6749 x Argentina,
uniqueid_7935 x Argentina,
uniqueid_6582 x Argentina,
uniqueid_8248 x Argentina,
uniqueid_7267 x Argentina,
uniqueid_6751 x Argentina,
uniqueid_7766 x Argentina,
uniqueid_6783 x Argentina,
uniqueid_8179 x Argentina,
uniqueid_6568 x Argentina,
uniqueid_8269 x Argentina,
uniqueid_6906 x Argentina,
uniqueid_6563 x Argentina,
uniqueid_6084 x Argentina,
uniqueid_6753 x Argentina,
uniqueid_8488 x Argentina,
uniqueid_8629 x Argentina,
uniqueid_8433 x Argentina,
uniqueid_7151 x Argentina,
uniqueid_6756 x Argentina,
uniqueid_6546 x Argentina,
uniqueid_6830 x Argentina,
uniqueid_7919 x Argentina,
uniqueid_7662 x Argentina,
uniqueid_6389 x Argentina,
uniqueid_7307 x Argentina,
uniqueid_6594 x Argentina,
uniqueid_6521 x Argentina,
uniqueid_6174 x Argentina,
uniqueid_6260 x Argentina,
uniqueid_6230 x Argentina,
uniqueid_6164 x Argentina,
uniqueid_8517 x Argentina,
uniqueid_6547 x Argentina,
uniqueid_7595 x Argentina,
uniqueid_6694 x Argentina,
uniqueid_8072 x Argentina,
uniqueid_6488 x Argentina,
uniqueid_7568 x Argentina,
uniqueid_6482 x Argentina,
uniqueid_7022 x Argentina,
uniqueid_6475 x Argentina,
uniqueid_7581 x Argentina,
uniqueid_7015 x Argentina,
uniqueid_6793 x Argentina,
uniqueid_8126 x Argentina,
uniqueid_7544 x Argentina,
uniqueid_7646 x Argentina,
uniqueid_6460 x Argentina,
uniqueid_8217 x Argentina,
uniqueid_6772 x Argentina,
uniqueid_6545 x Argentina,
uniqueid_6098 x Argentina,
uniqueid_7775 x Argentina,
uniqueid_6574 x Argentina,
uniqueid_7402 x Argentina,
uniqueid_6436 x Argentina,
uniqueid_6435 x Argentina,
uniqueid_6779 x Argentina,
uniqueid_6427 x Argentina,
uniqueid_7622 x Argentina,
uniqueid_6423 x Argentina,
uniqueid_7177 x Argentina,
uniqueid_6406 x Argentina,
uniqueid_6398 x Argentina,
uniqueid_8034 x Argentina,
uniqueid_8378 x Argentina,
uniqueid_6785 x Argentina,
uniqueid_7912 x Argentina,
uniqueid_6390 x Argentina,
uniqueid_6388 x Argentina,
uniqueid_6787 x Argentina,
uniqueid_7318 x Argentina,
uniqueid_6380 x Argentina,
uniqueid_8619 x Argentina,
uniqueid_6788 x Argentina,
uniqueid_7484 x Argentina,
uniqueid_6802 x Argentina,
uniqueid_8617 x Argentina,
uniqueid_6362 x Argentina,
uniqueid_7901 x Argentina,
uniqueid_6379 x Argentina,
uniqueid_6353 x Argentina,
uniqueid_7344 x Argentina,
uniqueid_7720 x Argentina,
uniqueid_6340 x Argentina,
uniqueid_6369 x Argentina,
uniqueid_7612 x Argentina,
uniqueid_6254 x Argentina,
uniqueid_6136 x Argentina,
uniqueid_7760 x Argentina,
uniqueid_8578 x Argentina,
uniqueid_7137 x Argentina,
uniqueid_7811 x Argentina,
uniqueid_6321 x Argentina,
uniqueid_6319 x Argentina,
uniqueid_6318 x Argentina,
uniqueid_8314 x Argentina,
uniqueid_6314 x Argentina,
uniqueid_8108 x Argentina,
uniqueid_8202 x Argentina,
uniqueid_6310 x Argentina,
uniqueid_6308 x Argentina,
uniqueid_6300 x Argentina,
uniqueid_6299 x Argentina,
uniqueid_7277 x Argentina,
uniqueid_6074 x Argentina,
uniqueid_7732 x Argentina,
uniqueid_7982 x Argentina,
uniqueid_8339 x Argentina,
uniqueid_6991 x Argentina,
uniqueid_6800 x Argentina,
uniqueid_6085 x Argentina,
uniqueid_7805 x Argentina,
uniqueid_6097 x Argentina,
uniqueid_8370 x Argentina,
uniqueid_6801 x Argentina,
uniqueid_7875 x Argentina,
uniqueid_6279 x Argentina,
uniqueid_8116 x Argentina,
uniqueid_7835 x Argentina,
uniqueid_8200 x Argentina,
uniqueid_7093 x Argentina,
uniqueid_6977 x Argentina,
uniqueid_6804 x Argentina,
uniqueid_6253 x Argentina,
uniqueid_7772 x Argentina,
uniqueid_6243 x Argentina,
uniqueid_7675 x Argentina,
uniqueid_6241 x Argentina,
uniqueid_6239 x Argentina,
uniqueid_8186 x Argentina,
uniqueid_6226 x Argentina,
uniqueid_6221 x Argentina,
uniqueid_8141 x Argentina,
uniqueid_6213 x Argentina,
uniqueid_6210 x Argentina,
uniqueid_6208 x Argentina,
uniqueid_8511 x Argentina,
uniqueid_6203 x Argentina,
uniqueid_8422 x Argentina,
uniqueid_8400 x Argentina,
uniqueid_6886 x Argentina,
uniqueid_6767 x Argentina,
uniqueid_6877 x Argentina,
uniqueid_6137 x Argentina,
uniqueid_6413 x Argentina,
uniqueid_6187 x Argentina,
uniqueid_6672 x Argentina,
uniqueid_6511 x Argentina,
uniqueid_7155 x Argentina,
uniqueid_6125 x Argentina,
uniqueid_6173 x Argentina,
uniqueid_7198 x Argentina,
uniqueid_6163 x Argentina,
uniqueid_6162 x Argentina,
uniqueid_6773 x Argentina,
uniqueid_7691 x Argentina,
uniqueid_8162 x Argentina,
uniqueid_6496 x Argentina,
uniqueid_6824 x Argentina,
uniqueid_6147 x Argentina,
uniqueid_7814 x Argentina,
uniqueid_6145 x Argentina,
uniqueid_8518 x Argentina,
uniqueid_6141 x Argentina,
uniqueid_6138 x Argentina,
uniqueid_8144 x Argentina,
uniqueid_6454 x Argentina,
uniqueid_6133 x Argentina,
uniqueid_6132 x Argentina,
uniqueid_6131 x Argentina,
uniqueid_8154 x Argentina,
uniqueid_6827 x Argentina,
uniqueid_7228 x Argentina,
uniqueid_6950 x Argentina,
uniqueid_6313 x Argentina,
uniqueid_6526 x Argentina,
uniqueid_7320 x Argentina,
uniqueid_8137 x Argentina,
uniqueid_7080 x Argentina,
uniqueid_6101 x Argentina,
uniqueid_8467 x Argentina,
uniqueid_8222 x Argentina,
uniqueid_6691 x Argentina,
uniqueid_7040 x Argentina,
uniqueid_7132 x Argentina,
uniqueid_6626 x Argentina,
uniqueid_7694 x Argentina,
uniqueid_8150 x Argentina,
uniqueid_8452 x Argentina,
uniqueid_8010 x Argentina,
uniqueid_8529 x Argentina,
uniqueid_6418 x Argentina,
uniqueid_7718 x Argentina,
uniqueid_6361 x Argentina,
uniqueid_7592 x Argentina,
uniqueid_6687 x Argentina,
uniqueid_7583 x Argentina,
uniqueid_6471 x Argentina,
uniqueid_8100 x Argentina,
