iter	RMSE
0	224634.9283
1	223078.9032
2	221566.1884
3	220042.8687
4	218495.2019
5	217000.8139
6	215491.668
7	214043.5347
8	212568.8771
9	211157.2695
10	209718.8121
11	208363.3462
12	206958.5391
13	205587.1698
14	204266.4875
15	202927.2397
16	201616.5614
17	200303.2885
18	199009.4259
19	197770.6301
20	196496.8141
21	195255.0697
22	194085.5794
23	192859.5626
24	191646.8846
25	190491.4225
26	189312.8453
27	188175.6485
28	187051.9186
29	185921.1243
30	184858.9241
31	183784.2439
32	182692.1484
33	181635.9322
34	180589.5321
35	179568.0201
36	178532.1461
37	177512.8693
38	176529.0069
39	175572.8012
40	174599.6915
41	173604.7403
42	172683.442
43	171749.3417
44	170778.2943
45	169888.0222
46	169014.1472
47	168103.0887
48	167240.9103
49	166328.7911
50	165470.9268
51	164627.4692
52	163817.9491
53	163022.0956
54	162169.1996
55	161293.981
56	160505.5667
57	159732.6775
58	158910.0058
59	158145.514
60	157365.3094
61	156616.3358
62	155839.3388
63	155049.4467
64	154305.9984
65	153566.3699
66	152872.9982
67	152153.8036
68	151463.5055
69	150712.6355
70	149991.2301
71	149274.6778
72	148630.2357
73	147988.9472
74	147329.2011
75	146674.825
76	146052.2845
77	145407.1769
78	144794.7702
79	144191.1788
80	143592.2913
81	142930.5723
82	142275.8215
83	141702.7866
84	141091.6217
85	140491.6375
86	139931.3098
87	139314.45
88	138742.6677
89	138140.8803
90	137622.6323
91	137093.2362
92	136578.9501
93	136005.7078
94	135477.3521
95	134978.9034
96	134495.7084
97	134011.5449
98	133538.4993
99	133060.9136
100	132595.022
101	132157.4603
102	131655.6963
103	131143.5202
104	130685.6336
105	130233.9421
106	129771.2025
107	129341.7357
108	128861.3207
109	128459.1307
110	128030.0296
111	127602.27
112	127174.9343
113	126752.0231
114	126309.6026
115	125910.5533
116	125497.6582
117	125137.379
118	124731.3183
119	124299.3122
120	123928.3932
121	123543.4314
122	123189.8105
123	122799.6497
124	122409.7193
125	122044.4516
126	121713.6727
127	121354.5815
128	121012.15
129	120682.7831
130	120337.9059
131	120003.4487
132	119683.1451
133	119348.0601
134	119023.6904
135	118701.4483
136	118375.3225
137	118048.8149
138	117768.8312
139	117481.8475
140	117152.2531
141	116857.9098
142	116577.641
143	116309.4424
144	116007.3209
145	115724.0283
146	115449.2355
147	115170.0939
148	114903.9944
149	114660.5419
150	114419.8202
151	114162.0832
152	113886.5329
153	113652.753
154	113377.7724
155	113143.86
156	112908.3608
157	112654.3817
158	112413.3204
159	112176.2792
160	111951.9097
161	111728.0879
162	111471.3918
163	111224.9867
164	110986.5882
165	110760.655
166	110513.3925
167	110277.3203
168	110055.1158
169	109844.0493
170	109615.3737
171	109393.3368
172	109185.1458
173	108985.8268
174	108774.7144
175	108576.2819
176	108381.406
177	108183.1615
178	107989.0131
179	107807.1069
180	107617.3313
181	107416.8772
182	107240.8942
183	107041.253
184	106872.6692
185	106679.5215
186	106499.4583
187	106333.9201
188	106150.5239
189	105962.6958
190	105791.2724
191	105618.2859
192	105461.8276
193	105288.2749
194	105133.1738
195	104968.9325
196	104807.4622
197	104660.3902
198	104497.8567
199	104332.8659
200	104198.5824
201	104066.6203
202	103919.7762
203	103768.1041
204	103621.8883
205	103497.6916
206	103344.1785
207	103217.8254
208	103072.6029
209	102933.9827
210	102797.6764
211	102660.7313
212	102518.6497
213	102387.4073
214	102262.3693
215	102125.7633
216	101997.5784
217	101865.9937
218	101741.2168
219	101613.1818
220	101505.0955
221	101379.5246
222	101262.2059
223	101142.8718
224	101022.3735
225	100906.0946
226	100779.639
227	100659.267
228	100541.0206
229	100448.4107
230	100342.3417
231	100223.7314
232	100112.8428
233	100001.2737
234	99889.49531
235	99781.05571
236	99668.74033
237	99563.73341
238	99454.977
239	99358.00987
240	99253.33872
241	99145.03435
242	99036.26247
243	98923.80989
244	98822.03288
245	98727.52385
246	98616.55067
247	98521.90936
248	98427.59653
249	98344.64323
250	98245.95858
251	98159.46355
252	98078.92651
253	97988.04385
254	97898.29347
255	97807.83208
256	97721.35194
257	97634.48822
258	97550.92203
259	97470.67954
260	97388.70539
261	97304.66427
262	97221.79299
263	97139.8128
264	97064.82074
265	96989.75787
266	96914.73619
267	96843.96435
268	96767.21479
269	96671.5585
270	96609.77122
271	96540.90656
272	96457.85847
273	96388.80581
274	96317.05445
275	96247.97868
276	96172.17334
277	96100.70671
278	96028.67246
279	95957.34393
280	95888.36983
281	95825.77772
282	95762.25088
283	95698.66805
284	95643.94124
285	95574.2183
286	95498.53884
287	95429.29033
288	95368.3523
289	95311.1208
290	95250.53113
291	95179.3575
292	95091.7888
293	95032.13127
294	94961.13991
295	94906.10532
296	94841.32395
297	94780.81614
298	94720.75255
299	94670.91144
300	94616.85881
301	94570.10626
302	94517.63675
303	94468.30065
304	94415.99447
305	94361.61742
306	94299.96288
307	94245.58456
308	94191.91372
309	94142.26486
310	94097.4991
311	94041.78851
312	93993.75828
313	93939.38204
314	93878.30974
315	93835.92873
316	93787.6472
317	93723.87318
318	93681.0302
319	93633.69323
320	93581.23821
321	93522.37698
322	93477.56764
323	93426.10335
324	93375.89399
325	93327.8253
326	93283.16636
327	93242.91044
328	93202.94494
329	93142.17154
330	93105.15736
331	93064.13396
332	93015.2065
333	92970.78181
334	92931.13438
335	92886.61154
336	92844.67101
337	92806.33485
338	92755.01531
339	92679.7794
340	92618.55326
341	92578.66582
342	92538.25906
343	92482.04433
344	92435.67767
345	92389.48403
346	92350.03376
347	92303.00184
348	92272.01224
349	92237.52685
350	92206.92689
351	92166.13485
352	92114.43285
353	92075.7692
354	92034.08735
355	91997.58842
356	91959.66039
357	91920.31802
358	91876.44221
359	91837.20812
360	91796.66231
361	91733.78706
362	91683.02004
363	91640.2494
364	91606.44779
365	91577.43694
366	91531.8261
367	91497.02462
368	91464.22471
369	91433.59182
370	91405.18543
371	91354.83343
372	91325.57183
373	91291.49615
374	91246.2079
375	91211.97468
376	91183.25028
377	91145.8714
378	91108.56957
379	91066.01711
380	91037.55137
381	90995.87712
382	90967.40577
383	90935.39743
384	90891.76297
385	90858.2863
386	90819.27669
387	90787.20156
388	90743.80555
389	90715.57067
390	90682.06256
391	90628.81148
392	90592.36109
393	90564.11668
394	90525.98607
395	90466.80921
396	90418.32735
397	90391.07648
398	90367.37331
399	90336.76933
400	90310.10657
401	90287.56922
402	90260.01228
403	90228.95251
404	90197.11237
405	90170.52826
406	90139.33929
407	90112.77867
408	90081.15305
409	90050.49818
410	90024.88397
411	89995.79924
412	89958.34326
413	89908.75866
414	89881.90418
415	89853.33588
416	89827.9718
417	89784.29411
418	89751.55774
419	89721.45897
420	89669.94305
421	89641.02891
422	89603.10916
423	89570.88102
424	89542.4232
425	89515.07789
426	89480.59191
427	89457.31104
428	89430.46483
429	89403.81382
430	89358.18888
431	89302.56185
432	89263.6328
433	89236.24767
434	89187.03266
435	89157.84119
436	89138.63556
437	89109.79774
438	89089.10393
439	89063.46006
440	89033.95465
441	89009.91351
442	88986.93872
443	88962.17203
444	88927.2221
445	88901.34008
446	88874.41868
447	88857.3457
448	88833.09351
449	88795.801
450	88773.8224
451	88735.17207
452	88702.65518
453	88665.28219
454	88644.09068
455	88622.50201
456	88601.48145
457	88577.82219
458	88550.61127
459	88522.67048
460	88478.40843
461	88456.59056
462	88421.94817
463	88399.30673
464	88379.23921
465	88355.77471
466	88332.2755
467	88311.30092
468	88292.41276
