Id,pais,provincia_departamento,ciudad,property_type,operation_type,rooms,bedrooms,bathrooms,surface_total,currency,price
0,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,2.0,1.0,1.0,37.0,USD,85000.0
1,Argentina,Capital Federal,Palermo,Departamento,Venta,6.0,4.0,4.0,300.0,USD,1590000.0
2,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,3.0,95.0,USD,85329.0
3,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,1.0,60.0,USD,22846.0
4,Argentina,Capital Federal,Balvanera,Departamento,Venta,3.0,2.0,1.0,45.0,USD,80000.0
5,Colombia,Santander,Floridablanca,Apartamento,Venta,3.0,3.0,2.0,75.0,USD,60556.0
6,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,3.0,2.0,1.0,87.0,USD,139000.0
7,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,4.0,3.0,1.0,100.0,USD,174500.0
8,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,93.0,USD,115607.0
9,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,3.0,2.0,2.0,99.0,USD,260000.0
10,Argentina,Capital Federal,Almagro,Departamento,Venta,2.0,1.0,1.0,56.0,USD,138000.0
11,Argentina,Capital Federal,Caballito,Departamento,Venta,2.0,1.0,1.0,42.0,USD,100000.0
12,Colombia,Risaralda,Pereira,Apartamento,Venta,3.0,3.0,3.0,121.0,USD,96339.0
13,Argentina,Buenos Aires Costa Atlántica,Monte Hermoso,Departamento,Venta,5.0,3.0,2.0,105.0,USD,260000.0
14,Argentina,Capital Federal,Recoleta,Departamento,Venta,2.0,1.0,1.0,57.0,USD,145000.0
15,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,1.0,33.0,USD,65900.0
16,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,1.0,35.0,USD,65900.0
17,Argentina,Capital Federal,Belgrano,Departamento,Venta,4.0,3.0,3.0,171.0,USD,1250000.0
18,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,96.0,USD,121112.0
19,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,4.0,2.0,1.0,60.0,USD,59900.0
20,Argentina,Buenos Aires Costa Atlántica,Necochea,Departamento,Venta,2.0,1.0,1.0,39.0,USD,73000.0
21,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,33.0,USD,98000.0
22,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,1.0,80.0,USD,189000.0
23,Argentina,Neuquén,Confluencia,Departamento,Venta,5.0,2.0,1.0,115.0,USD,300000.0
24,Argentina,Capital Federal,Recoleta,Departamento,Venta,3.0,2.0,1.0,73.0,USD,342113.0
25,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,85.0,USD,56427.0
26,Argentina,Capital Federal,Recoleta,Departamento,Venta,3.0,2.0,1.0,75.0,USD,310000.0
27,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,103.0,USD,86705.0
28,Argentina,Capital Federal,Palermo,Departamento,Venta,4.0,3.0,2.0,75.0,USD,195000.0
29,Argentina,Capital Federal,San Telmo,Departamento,Venta,4.0,3.0,2.0,109.0,USD,228000.0
30,Argentina,Capital Federal,Recoleta,Departamento,Venta,5.0,2.0,2.0,178.0,USD,540000.0
31,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,2.0,77.0,USD,135000.0
32,Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,Venta,1.0,1.0,1.0,30.0,USD,65000.0
33,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,1.0,67.0,USD,145000.0
34,Argentina,Capital Federal,Belgrano,Departamento,Venta,5.0,4.0,3.0,210.0,USD,745000.0
35,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,2.0,1.0,1.0,40.0,USD,65000.0
36,Colombia,Atlántico,Barranquilla,Apartamento,Venta,2.0,2.0,1.0,51.0,USD,45351.0
37,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,Departamento,Venta,2.0,1.0,1.0,48.0,USD,95000.0
38,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,40.0,USD,110000.0
39,Argentina,Córdoba,Córdoba,Departamento,Venta,2.0,1.0,1.0,45.0,USD,49800.0
40,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,75.0,USD,74319.0
41,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,1.0,33.0,USD,98000.0
42,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,92.0,USD,107349.0
43,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,1.0,1.0,1.0,42.0,USD,107322.0
44,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,3.0,112.0,USD,104597.0
45,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,3.0,63.0,USD,52298.0
46,Argentina,Neuquén,Neuquén,Departamento,Venta,3.0,2.0,1.0,55.0,USD,120000.0
47,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,2.0,80.0,USD,72392.0
48,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,2.0,82.0,USD,205000.0
49,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,125.0,USD,110102.0
50,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,2.0,86.0,USD,97165.0
51,Argentina,Capital Federal,Colegiales,Departamento,Venta,2.0,1.0,1.0,41.0,USD,108000.0
52,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,3.0,148.0,USD,225709.0
53,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,4.0,280.0,USD,261492.0
54,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,4.0,4.0,4.0,300.0,USD,516102.0
55,Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,Venta,2.0,1.0,1.0,30.0,USD,35000.0
56,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,76.0,USD,70190.0
57,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,2.0,1.0,1.0,55.0,USD,153000.0
58,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,4.0,3.0,3.0,120.0,USD,170000.0
59,Argentina,Santa Fe,Rosario,Departamento,Venta,2.0,1.0,1.0,34.0,USD,49500.0
60,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,96.0,USD,63309.0
61,Argentina,Santa Fe,Rosario,Departamento,Venta,2.0,1.0,1.0,35.0,USD,75000.0
62,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,86.0,USD,63309.0
63,Argentina,Capital Federal,Barrio Norte,Departamento,Venta,2.0,1.0,1.0,47.0,USD,142000.0
64,Argentina,Capital Federal,Chacarita,Departamento,Venta,4.0,3.0,1.0,95.0,USD,171000.0
65,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,Departamento,Venta,1.0,1.0,1.0,30.0,USD,45000.0
66,Argentina,Capital Federal,Caballito,Departamento,Venta,2.0,1.0,1.0,48.0,USD,124000.0
67,Argentina,Santa Fe,Rosario,Departamento,Venta,3.0,1.0,1.0,41.0,USD,66000.0
68,Colombia,Antioquia,Envigado,Apartamento,Venta,1.0,1.0,2.0,113.0,USD,230388.0
69,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,1.0,1.0,1.0,32.0,USD,71900.0
70,Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,Departamento,Venta,2.0,1.0,1.0,38.0,USD,51000.0
71,Colombia,Atlántico,Barranquilla,Apartamento,Venta,2.0,2.0,2.0,78.0,USD,82576.0
72,Colombia,Antioquia,Medellín,Apartamento,Venta,2.0,2.0,2.0,64.0,USD,68814.0
73,Argentina,Capital Federal,Villa Urquiza,Departamento,Venta,2.0,1.0,1.0,45.0,USD,85000.0
74,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,3.0,2.0,1.0,53.0,USD,145000.0
75,Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,Departamento,Venta,3.0,2.0,1.0,70.0,USD,180000.0
76,Argentina,Capital Federal,Almagro,Departamento,Venta,1.0,1.0,1.0,26.0,USD,65000.0
77,Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,Departamento,Venta,2.0,1.0,1.0,43.0,USD,75000.0
78,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,4.0,3.0,1.0,100.0,USD,174500.0
79,Colombia,Antioquia,Sabaneta,Apartamento,Venta,3.0,3.0,2.0,80.0,USD,68814.0
80,Argentina,Capital Federal,Balvanera,Departamento,Venta,3.0,2.0,1.0,48.0,USD,120000.0
81,Argentina,Capital Federal,Recoleta,Departamento,Venta,5.0,3.0,2.0,125.0,USD,400000.0
82,Argentina,Santa Fe,Rosario,Departamento,Venta,2.0,1.0,1.0,34.0,USD,49500.0
83,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,5.0,309.0,USD,688137.0
84,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,1.0,42.0,USD,79900.0
85,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,2.0,123.0,USD,129370.0
86,Argentina,Capital Federal,Palermo,Departamento,Venta,1.0,1.0,1.0,46.0,USD,140000.0
87,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,3.0,102.0,USD,455000.0
88,Colombia,Bolívar,Cartagena,Apartamento,Venta,4.0,4.0,4.0,226.0,USD,454170.0
89,Argentina,Capital Federal,Barrio Norte,Departamento,Venta,4.0,3.0,3.0,223.0,USD,950000.0
90,Argentina,Santa Fe,Rosario,Departamento,Venta,2.0,1.0,1.0,41.0,USD,77000.0
91,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,84.0,USD,74319.0
92,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,2.0,1.0,2.0,70.0,USD,195000.0
93,Argentina,Neuquén,Neuquén,Departamento,Venta,3.0,2.0,1.0,80.0,USD,130000.0
94,Argentina,Capital Federal,Caballito,Departamento,Venta,3.0,2.0,1.0,50.0,USD,135000.0
95,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,130.0,USD,220204.0
96,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,2.0,57.0,USD,149500.0
97,Argentina,Santa Fe,San Lorenzo,Departamento,Venta,1.0,1.0,1.0,50.0,USD,85000.0
98,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,3.0,96.0,USD,77071.0
99,Argentina,Capital Federal,Caballito,Departamento,Venta,2.0,2.0,1.0,60.0,USD,149000.0
100,Argentina,Capital Federal,Balvanera,Departamento,Venta,4.0,3.0,2.0,95.0,USD,200000.0
101,Colombia,Atlántico,Barranquilla,Apartamento,Venta,2.0,2.0,2.0,92.0,USD,70190.0
102,Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,Venta,3.0,2.0,2.0,65.0,USD,145000.0
103,Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,Venta,2.0,1.0,1.0,40.0,USD,47500.0
104,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,2.0,1.0,1.0,32.0,USD,79000.0
105,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,2.0,74.0,USD,54225.0
106,Argentina,Capital Federal,Recoleta,Departamento,Venta,2.0,1.0,1.0,44.0,USD,138000.0
107,Argentina,Capital Federal,Palermo,Departamento,Venta,2.0,1.0,2.0,63.0,USD,159000.0
108,Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,Venta,2.0,1.0,1.0,50.0,USD,145000.0
109,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,1.0,83.0,USD,96339.0
110,Argentina,Córdoba,Córdoba,Departamento,Venta,5.0,1.0,1.0,50.0,USD,69000.0
111,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,2.0,79.0,USD,57803.0
112,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,3.0,91.0,USD,83074.0
113,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,2.0,72.0,USD,37159.0
114,Colombia,Antioquia,Bello,Apartamento,Venta,3.0,3.0,2.0,54.0,USD,41288.0
115,Argentina,Capital Federal,Villa Luro,Departamento,Venta,2.0,1.0,1.0,47.0,USD,92000.0
116,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,Venta,2.0,1.0,1.0,48.0,USD,85000.0
117,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,3.0,2.0,3.0,105.0,USD,280000.0
118,Colombia,Valle del Cauca,Cali,Apartamento,Venta,2.0,2.0,1.0,55.0,USD,41288.0
119,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,2.0,53.0,USD,53124.0
120,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,2.0,90.0,USD,145885.0
121,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Departamento,Venta,3.0,2.0,1.0,55.0,USD,75000.0
122,Argentina,Capital Federal,Caballito,Departamento,Venta,2.0,1.0,1.0,29.0,USD,59000.0
123,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,2.0,56.0,USD,72942.0
124,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,2.0,1.0,1.0,37.0,USD,80000.0
125,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,114.0,USD,59180.0
126,Argentina,Capital Federal,Almagro,Departamento,Venta,2.0,1.0,1.0,40.0,USD,115000.0
127,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,4.0,112.0,USD,203688.0
128,Argentina,Capital Federal,Parque Chacabuco,Departamento,Venta,2.0,1.0,1.0,28.0,USD,88000.0
129,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,5.0,243.0,USD,447847.0
130,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,Venta,2.0,1.0,1.0,39.0,USD,62500.0
131,Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,Venta,3.0,2.0,1.0,29.0,USD,70000.0
132,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,294.0,USD,410129.0
133,Colombia,Huila,Palermo,Apartamento,Venta,1.0,1.0,1.0,47.0,USD,77071.0
134,Argentina,Capital Federal,Constitución,Departamento,Venta,2.0,1.0,1.0,44.0,USD,85000.0
